#N    (0,0)     (1,1)     (2,1)     (3,1)    (4,1)    (5,1)    (6,1)    (7,1)    (8,1)    (9,1)   (10,1)
#- --------  --------  --------  -------- -------- -------- -------- -------- -------- -------- --------
10     4202      6843      6605      6413     6306     6184     6027     5879     5603     5187     4202
11    11045     17958     17242     16859    16485    16136    15785    15283    14700    13531    11045
12    29005     47268     45616     44401    43486    42567    41505    40393    38627    35736    29005
13    76275    124121    119428    116536   113969   111446   108900   105656   101469    93568    76275
14   200513    326776    315010    306884   300168   293779   286735   278834   267085   246816   200513
15   527410    858004    826199    805247   787766   770644   753131   731633   702042   647897   527410
16  1387935   2259773   2175765   2120508  2074155  2030957  1984157  1929452  1849854  1707806  1387935
17  3650456   5932634   5713424   5566427  5448544  5334054  5215322  5071176  4864338  4490680  3650456
18  9615289  15632183  15037110  14660105 14345337 14055334 13743831 13368230 12823985 11830422  9615289
19 25285064  41045231  39524424  38503912 37709441 36945308 36143506 35169558 33729025 31141216 25285064
20 66640746 108194876 104007605 101425780 99291771 97345577 95260469 92683684 88942405 82001776 66640746
