#N    (0,0)     (1,1)    (2,1)    (3,1)    (4,1)
#- --------  -------- -------- -------- --------
10     4289      6592     6014     5361     4289
11    11151     17154    15731    14104    11151
12    29518     45393    41478    36992    29518
13    77096    118627   108671    97329    77096
14   203589    313062   286373   255704   203589
15   533564    820518   751356   672641   533564
16  1406571   2162838  1979657  1769196  1406571
17  3693776   5678841  5199481  4652863  3693776
18  9728937  14962388 13697680 12246351  9728937
19 25577772  39323798 36003493 32209388 25577772
20 67352220 103597366 94840493 84805776 67352220
