#N    (0,0)     (1,1)    (2,1)    (3,1)    (4,1)    (5,1)
#- --------  -------- -------- -------- -------- --------
10     4220      6658     6290     5815     5323     4220
11    11194     17572    16278    15373    13805    11194
12    29169     45892    43305    40179    36734    29169
13    77251    121232   112590   106244    95530    77251
14   201686    317174   299011   277722   253541   201686
15   533608    837910   779185   734434   661051   533608
16  1395365   2194013  2066521  1921469  1752213  1395365
17  3690410   5795882  5394795  5080280  4577253  3690410
18  9660324  15185829 14292672 13304199 12122844  9660324
19 25544116  40115816 37368425 35167050 31710675 25544116
20 66917846 105173648 98930374 92166326 83932956 66917846
