#N    (0,0)     (1,1)     (2,1)    (3,1)    (4,1)    (5,1)    (6,1)
#- --------  --------  -------- -------- -------- -------- --------
10     4226      6790      6408     6093     5742     5230     4226
11    11069     17669     16753    15925    15030    13742    11069
12    29249     46670     44047    42005    39715    36174    29249
13    76537    121805    115565   110103   104075    95251    76537
14   202261    321891    303930   290208   274795   250225   202261
15   529523    841960    798947   761877   720393   659306   529523
16  1398683   2224640   2101817  2007264  1901139  1731357  1398683
17  3665411   5828352   5529085  5274585  4987559  4562604  3665411
18  9677051  15390845  14550155 13893148 13156719 11986280  9677051
19 25387048  40374451  38284361 36530285 34546756 31587290 25387048
20 66991510 106546856 100776277 96214246 91102606 83033976 66991510
