#N    (0,0)     (1,1)     (2,1)    (3,1)    (4,1)    (5,1)    (6,1)    (7,1)
#- --------  --------  -------- -------- -------- -------- -------- --------
10     4203      6810      6546     6217     6017     5647     5213     4203
11    11076     17892     16939    16402    15585    14914    13586    11076
12    29035     46827     44915    42859    41455    39098    36058    29035
13    76661    123271    116810   113058   107979   103280    94204    76661
14   200862    322832    309267   296049   286375   270930   249673   200862
15   530606    850887    806941   780972   748149   715461   652970   530606
16  1390443   2230695   2135220  2047683  1981049  1877130  1728579  1390443
17  3672548   5882999   5583307  5402844  5183519  4955763  4524696  3672548
18  9629131  15436533  14767533 14176417 13713655 13003680 11967126  9629131
19 25426555  40720376  38670848 37412257 35916894 34325738 31352387 25426555
20 66708024 106917616 102243275 98204995 94973129 90094222 82871347 66708024
