#N    (0,0)     (1,1)     (2,1)    (3,1)    (4,1)    (5,1)    (6,1)    (7,1)    (8,1)
#- --------  --------  -------- -------- -------- -------- -------- -------- --------
10     4203      6841      6573     6355     6141     5922     5628     5189     4203
11    11046     17918     17169    16595    16062    15466    14756    13563    11046
12    29043     47187     45206    43734    42312    40835    38914    35805    29043
13    76313    123523    118417   114467   110937   107075   102154    94002    76313
14   201044    325552    311427   301557   292251   282388   269544   247748   201044
15   527963    852526    817290   790586   767271   741826   708003   651851   527963
16  1392367   2248421   2149269  2082928  2021388  1955253  1868284  1715938  1392367
17  3655524   5892878   5648813  5466861  5311431  5141684  4908167  4519469  3655524
18  9644048  15547941  14857232 14406779 13993758 13545074 12950576 11888553  9644048
19 25322185  40783559  39089723 37843372 36791889 35641834 34023852 31327110 25322185
20 66809872 107621220 102836044 99747742 96937108 93858385 89761903 82383511 66809872
