#N    (0,0)     (1,1)     (2,1)     (3,1)    (4,1)    (5,1)    (6,1)    (7,1)    (8,1)    (9,1)
#- --------  --------  --------  -------- -------- -------- -------- -------- -------- --------
10     4202      6842      6604      6382     6279     6046     5903     5604     5188     4202
11    11046     17957     17203     16825    16255    15943    15308    14731    13532    11046
12    29005     47220     45574     44033    43187    41692    40648    38659    35775    29005
13    76322    124080    118862    116082   112354   110029   105946   101867    93606    76322
14   200503    325946    314348    303954   297762   288268   280859   267522   247415   200503
15   528219    857407    821041    801174   777169   760742   734219   705590   648420   528219
16  1387587   2251328   2169372   2100074  2056630  1995711  1943946  1853978  1713729  1387587
17  3658754   5927547   5674912   5535384  5379633  5265750  5091520  4891383  4494829  3658754
18  9610095  15566026  14988657  14523324 14222298 13826702 13467601 12855416 11877172  9610095
19 25350463  41011330  39259826  38285129 37260735 36476055 35315525 33918958 31165468 25350463
20 66589312 107733251 103677927 100526710 98447372 95835451 93347910 89151194 82329499 66589312
