#N    (0,0)    (1,1)    (2,2)    (3,2)
#- -------- -------- -------- --------
10     4236     4801     5825     4236
11    11009    12428    15245    11009
12    29102    32926    40085    29102
13    76071    85956   105171    76071
14   200544   226678   276599   200544
15   525846   594410   726453   525846
16  1384601  1564944  1911499  1384601
17  3636743  4110965  5022679  3636743
18  9573509 10822001 13221791  9573509
19 25165116 28444044 34756503 25165116
20 66257009 74907244 91517563 66257009
