#N    (0,0)    (1,1)    (2,1)     (3,2)    (4,2)    (5,2)
#- -------- -------- --------  -------- -------- --------
10     4210     5866     4490      6401     5452     4210
11    10992    15348    11713     16638    14337    10992
12    29068    40401    30891     44080    37552    29068
13    75915   105913    80803    114858    99042    75915
14   200634   278835   213077    304158   259384   200634
15   524803   731822   558408    794394   684203   524803
16  1385940  1927059  1472068   2100735  1793931  1385940
17  3631199  5062169  3862937   5498991  4729965  3631199
18  9582690 13331180 10179727  14522643 12417540  9582690
19 25144326 35042008 26741283  38084535 32723950 25144326
20 66309832 92289585 70448911 100483140 86006998 66309832
