#N    (0,0)    (1,1)    (2,1)    (3,1)     (4,2)    (5,2)    (6,2)    (7,2)
#- -------- -------- -------- --------  -------- -------- -------- --------
10     4194     6315     5556     4367      6630     6009     5327     4194
11    11005    16528    14530    11458     17321    15721    13931    11005
12    28967    43618    38233    30132     45658    41396    36712    28967
13    75994   114080   100427    78936    119386   108524    96366    75994
14   200393   301401   263733   208093    314939   285779   253605   200393
15   525521   788581   694472   544903    824654   750235   666923   525521
16  1386640  2084515  1822126  1438119   2175987  1975851  1753920  1386640
17  3636940  5456272  4804640  3766995   5704726  5191110  4616293  3636940
18  9597250 14423409 12604969  9947171  15051518 13672691 12139316  9597250
19 25183267 37780195 33256891 26072496  39498083 35941980 31964684 25183267
20 66448571 99843304 87281090 68851844 104196014 94673130 84065789 66448571
