#N    (0,0)     (1,1)    (2,1)    (3,1)    (4,1)     (5,2)    (6,2)    (7,2)    (8,2)    (9,2)
#- --------  -------- -------- -------- --------  -------- -------- -------- -------- --------
10     4198      6534     6012     5399     4311      6720     6291     5817     5280     4198
11    11031     17091    15724    14148    11309     17634    16356    15303    13761    11031
12    28953     45032    41475    37285    29739     46365    43275    40202    36339    28953
13    76114    118128   108720    97755    78100    121654   113208   105560    95140    76114
14   200103    311204   286486   257453   205373    320289   298455   277868   250774   200103
15   526031    816833   751946   676021   539533    840140   783056   729524   658483   526031
16  1384940   2152691  1980787  1779602  1420043   2213870  2061663  1922256  1734000  1384940
17  3639901   5652340  5203739  4678320  3730410   5807781  5418518  5047755  4560902  3639901
18  9591868  14901014 13706847 12311660  9825698  15314114 14258609 13308146 12002305  9591868
19 25206161  39143294 36032351 32390473 25813105  40189499 37519971 34951589 31601474 25206161
20 66454727 103202784 94912956 85232098 68020095 106013986 98703632 92184225 83127594 66454727
