#N    (0,0)    (1,1)    (2,1)    (3,1)     (4,2)    (5,2)    (6,2)     (7,3)    (8,3)    (9,3)   (10,3)
#- -------- -------- -------- --------  -------- -------- --------  -------- -------- -------- --------
10     4190     6258     5518     4268      6357     5608     4371      6630     6009     5327     4190
11    11001    16462    14287    11313     16786    14586    11528     17343    15721    13922    11001
12    28871    43123    37890    29494     43960    38646    30206     45680    41403    36703    28871
13    75886   113414    98817    77880    115735   100938    79576    119731   108531    96155    75886
14   199351   297923   261171   204047    303954   266594   208849    315306   285810   253367   199351
15   524199   783320   684084   537505    799196   698544   549575    827480   750243   664766   524199
16  1378519  2061514  1803945  1412177   2102805  1841085  1444433   2179364  1975470  1751114  1378519
17  3625349  5418002  4737689  3715232   5524737  4834875  3798060   5722333  5190210  4600413  3625349
18  9542900 14275735 12476956  9778146  14554151 12727441  9994676  15075846 13666792 12115518  9542900
19 25096109 37509810 32824118 25706246  38224100 33474590 26268599  39598334 35930227 31860974 25096109
20 66106730 98908951 86374671 67733949 100779069 88057303 69189749 104356266 94621483 83890346 66106730
