#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,3)
#- -------- -------- -------- -------- --------
10     4172     4600     4926     5815     4172
11    10874    11888    12726    15195    10874
12    28750    31673    33854    40025    28750
13    75036    82078    87836   104901    75036
14   198286   218185   233202   276079   198286
15   518439   567722   607537   724867   518439
16  1369001  1504987  1608691  1907081  1369001
17  3586432  3930925  4205624  5012499  3586432
18  9462013 10394760 11110723 13189049  9462013
19 24828788 27231006 29125773 34686493 24828788
20 65457061 71876538 76829484 91289597 65457061
