#N    (0,0)    (1,1)    (2,1)    (3,2)    (4,2)     (5,3)    (6,3)    (7,3)
#- -------- -------- -------- -------- --------  -------- -------- --------
10     4164     5723     4393     6003     4524      6401     5457     4164
11    10949    15124    11354    15541    11925     16760    14233    10949
12    28709    39516    30212    41242    31150     44000    37592    28709
13    75626   104386    78550   107322    82130    115635    98251    75626
14   198289   273309   208238   284101   214791    303352   259628   198289
15   523060   721435   543650   741607   566518    798841   679103   523060
16  1371394  1891478  1438201  1960830  1483428   2095560  1795118  1371394
17  3619075  4990674  3763073  5128988  3913253   5524405  4699001  3619075
18  9492132 13093996  9945802 13553760 10258464  14496455 12419131  9492132
19 25050460 34545572 26054912 35501137 27065028  38230418 32538623 25050460
20 65733255 90674395 68834363 93791533 71008195 100373729 85963639 65733255
