#N    (0,0)    (1,1)    (2,1)     (3,2)    (4,2)    (5,2)    (6,3)    (7,3)    (8,3)
#- -------- -------- --------  -------- -------- -------- -------- -------- --------
10     4167     5860     4494      6452     5595     4307     6264     5418     4167
11    10946    15342    11772     16935    14561    11351    16445    14116    10946
12    28737    40371    30962     44515    38436    29747    43233    37266    28737
13    75507   105895    81214    116688   100635    78167   113400    97625    75507
14   198613   278760   213703    307299   264874   205536   298832   257172   198613
15   521773   731919   560793    805221   695726   539446   783528   675689   521773
16  1374402  1926929  1476612   2123092  1828605  1421220  2067281  1777734  1374402
17  3609693  5063172  3876713   5564554  4812666  3728117  5420475  4679330  3609693
18  9515640 13331265 10211864  14682098 12640933  9833384 14311391 12302050  9515640
19 24991221 35047854 26825033  38498072 33310177 25791955 37529281 32414093 24991221
20 65902348 92294017 70676730 101612514 87477917 68075254 99116039 85190810 65902348
