#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,4)
#- -------- -------- -------- -------- -------- --------
10     4127     4482     4715     4976     5815     4127
11    10819    11712    12285    12954    15167    10819
12    28499    31000    32510    34218    39997    28499
13    74649    80829    84536    89016   104715    74649
14   196917   214339   224365   235704   275865   196917
15   515783   558611   583435   614133   723747   515783
16  1361150  1481467  1549544  1626839  1905703  1361150
17  3566804  3864343  4035149  4246558  5006165  3566804
18  9413000 10241055 10708352 11243065 13178717  9413000
19 24683551 26754837 27941841 29400471 34648831 24683551
20 65130952 70830748 74050142 77762761 91206907 65130952
