#N    (0,0)    (1,1)    (2,1)    (3,2)    (4,2)    (5,3)    (6,3)     (7,4)    (8,4)    (9,4)
#- -------- -------- -------- -------- -------- -------- --------  -------- -------- --------
10     4164     5716     4347     5860     4427     6015     4536      6401     5457     4164
11    10937    15008    11299    15317    11566    15675    11937     16760    14233    10937
12    28697    39379    29841    40357    30489    41388    31327     44055    37562    28697
13    75382   103406    78029   105771    79895   108361    82319    115635    98276    75382
14   198064   271961   205649   278551   210302   285408   216340    304135   259040   198064
15   520585   714426   539596   731033   552164   748834   568290    798438   679426   520585
16  1369441  1881081  1420972  1925124  1452825  1970943  1494748   2102071  1789310  1369441
17  3599752  4943459  3734065  5056882  3817826  5177122  3926303   5518704  4701738  3599752
18  9479277 13022723  9832513 13317106 10047270 13623764 10334620  14541081 12374501  9479277
19 24916070 34235566 25857781 35005210 26415408 35814990 27149782  38180554 32558731 24916070
20 65655271 90210644 68087838 92186878 69531421 94247388 71500306 100659455 85656152 65655271
