#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,5)    (6,5)
#- -------- -------- -------- -------- -------- -------- --------
10     4113     4423     4597     4765     4990     5815     4113
11    10805    11643    12109    12541    13094    15167    10805
12    28345    30567    31781    32902    34386    39997    28345
13    74467    80232    83307    86136    89950   104631    74467
14   195895   211602   219805   227141   237068   275781   195895
15   514331   554300   574750   593281   619507   723043   514331
16  1355046  1465261  1520930  1569041  1636115  1904915  1355046
17  3556942  3834702  3972467  4095450  4276828  5001407  3556942
18  9377514 10145291 10525813 10847197 11305106 13173003  9377514
19 24617404 26547871 27488499 28321170 29576039 34619623 24617404
20 64921069 70244402 72857493 75043934 78196885 91168931 64921069
