#N    (0,0)    (1,1)    (2,2)    (3,2)    (4,3)    (5,4)    (6,4)    (7,5)    (8,5)
#- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4129     4733     5821     4243     4841     5984     4455     5688     4129
11    10825    12346    15241    11084    12659    15762    11543    14800    10825
12    28421    32484    40099    29191    33294    41312    30542    39052    28421
13    74606    85213   105177    76530    87381   108557    79822   102229    74606
14   196136   224101   276757   201322   229663   285316   210315   269254   196136
15   515177   588610   726529   528533   603071   749006   551734   706690   515177
16  1356002  1549438  1912506  1390774  1586755  1971446  1451879  1860483  1356002
17  3562522  4069750  5023932  3653108  4165535  5175290  3814983  4890015  3562522
18  9384743 10723422 13227650  9617657 10972054 13631814 10036540 12870505  9384743
19 24657386 28166689 34769465 25269524 28803380 35796748 26397690 33861128 24657386
20 64989677 74253092 91551434 66555061 75914855 94334796 69441520 89097269 64989677
