#N    (0,0)    (1,1)    (2,2)    (3,2)    (4,3)    (5,3)    (6,4)    (7,4)    (8,5)    (9,5)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4129     4785     6047     4507     5933     4388     5779     4341     5639     4129
11    10832    12559    15869    11763    15417    11590    15235    11268    14707    10832
12    28428    32974    41688    31076    40886    30229    39784    29793    38802    28428
13    74662    86556   109585    81217   106464    79876   104918    77654   101419    74662
14   196141   227631   287733   214559   281952   208779   274636   205367   267701   196141
15   515650   597776   757148   561010   735918   551150   724368   536517   700840   515650
16  1355210  1572505  1987637  1481761  1946350  1443219  1898821  1418404  1850020  1355210
17  3566577  4134233  5233596  3878566  5090642  3808172  5008599  3712637  4849819  3566577
18  9374836 10871365 13741321 10238832 13450599  9983936 13142286  9809388 12800644  9374836
19 24691694 28614211 36196712 26831451 35233853 26337922 34663652 25712961 33588023 24691694
20 64905259 75223536 95070188 70805322 93038456 69114970 91028300 67903775 88645712 64905259
