#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,5)    (6,6)    (7,6)
#- -------- -------- -------- -------- -------- -------- -------- --------
10     4113     4409     4538     4647     4779     4990     5815     4113
11    10805    11629    12040    12365    12681    13136    15167    10805
12    28303    30371    31348    32173    33070    34428    39997    28303
13    74425    80008    82710    84907    87160    90454   104631    74425
14   195349   209944   216894   222581   228595   237656   275781   195349
15   513701   552128   570265   584851   600179   623375   722779   513701
16  1350840  1453657  1501901  1540037  1580021  1641427  1904651  1350840
17  3551292  3817632  3940440  4037061  4139886  4301564  4998719  3551292
18  9349856 10071431 10404229 10658614 10924841 11344286 13170051  9349856
19 24575694 26426833 27264498 27907239 28598330 29724549 34599279 24575694
20 64750185 69792186 72089902 73796687 75579692 78462343 91145033 64750185
