#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,3)    (5,4)    (6,5)    (7,5)    (8,6)    (9,7)   (10,7)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4118     4581     4935     5875     4290     4820     5825     4236     4792     5765     4118
11    10810    11892    12844    15510    11073    12447    15245    10986    12310    14930    10810
12    28354    31469    33924    40552    29498    33153    40085    29079    32790    39558    28354
13    74476    82173    88693   106941    76697    86221   105171    75777    85033   103131    74476
14   195634   216757   233678   280367   203262   228376   276442   200204   225307   272286   195634
15   514045   568215   613073   738401   531201   597061   726296   523688   588140   712894   514045
16  1351474  1496154  1613347  1939527  1402844  1575743  1909982  1381294  1553036  1879222  1351474
17  3552874  3930391  4240174  5103646  3677922  4133186  5021038  3622713  4070462  4931651  3552874
18  9346108 10343552 11155988 13421844  9693969 10889250 13210892  9545494 10729564 12991917  9346108
19 24580120 27197629 29337668 35302300 25462264 28610637 34740568 25075288 28181898 34139503 24580120
20 64693788 71591901 77214336 92910747 67055569 75337009 91445061 66043898 74240130 89918389 64693788
