#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,0)    (5,0)    (6,0)    (7,0)     (8,0)     (9,0)    (10,0)
#-  -------- -------- -------- -------- -------- -------- -------- --------  --------  --------  --------
10      6843     4202     5187     5603     5879     6027     6184     6306      6413      6605      6843
11     17958    11045    13531    14700    15283    15785    16136    16485     16859     17242     17958
12     47268    29005    35736    38627    40393    41505    42567    43486     44401     45616     47268
13    124121    76275    93568   101469   105656   108900   111446   113969    116536    119428    124121
14    326776   200513   246816   267085   278834   286735   293779   300168    306884    315010    326776
15    858004   527410   647897   702042   731633   753131   770644   787766    805247    826199    858004
16   2259773  1387935  1707806  1849854  1929452  1984157  2030957  2074155   2120508   2175765   2259773
17   5932634  3650456  4490680  4864338  5071176  5215322  5334054  5448544   5566427   5713424   5932634
18  15632183  9615289 11830422 12823985 13368230 13743831 14055334 14345337  14660105  15037110  15632183
19  41045231 25285064 31141216 33729025 35169558 36143506 36945308 37709441  38503912  39524424  41045231
20 108194876 66640746 82001776 88942405 92683684 95260469 97345577 99291771 101425780 104007605 108194876
