#N   (0,-1)    (1,0)    (2,0)    (3,0)
#- -------- -------- -------- --------
10     6300     4268     5570     6300
11    16742    11379    14334    16742
12    43472    29472    38316    43472
13   115421    78434    99117   115421
14   300433   203739   264235   300433
15   797137   541422   685851   797137
16  2078243  1409539  1824875  2078243
17  5510907  3741997  4748493  5510907
18 14387069  9758256 12617423 14387069
19 38130894 25885698 32891904 38130894
20 99655040 67592411 87310954 99655040
