#N    (0,-1)    (1,0)    (2,0)    (3,0)     (4,0)
#-  -------- -------- -------- --------  --------
10      6592     4289     5361     6014      6592
11     17154    11151    14104    15731     17154
12     45393    29518    36992    41478     45393
13    118627    77096    97329   108671    118627
14    313062   203589   255704   286373    313062
15    820518   533564   672641   751356    820518
16   2162838  1406571  1769196  1979657   2162838
17   5678841  3693776  4652863  5199481   5678841
18  14962388  9728937 12246351 13697680  14962388
19  39323798 25577772 32209388 36003493  39323798
20 103597366 67352220 84805776 94840493 103597366
