#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,0)     (5,0)
#-  -------- -------- -------- -------- --------  --------
10      6658     4220     5323     5815     6290      6658
11     17572    11194    13805    15373    16278     17572
12     45892    29169    36734    40179    43305     45892
13    121232    77251    95530   106244   112590    121232
14    317174   201686   253541   277722   299011    317174
15    837910   533608   661051   734434   779185    837910
16   2194013  1395365  1752213  1921469  2066521   2194013
17   5795882  3690410  4577253  5080280  5394795   5795882
18  15185829  9660324 12122844 13304199 14292672  15185829
19  40115816 25544116 31710675 35167050 37368425  40115816
20 105173648 66917846 83932956 92166326 98930374 105173648
