#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,0)     (5,0)     (6,0)
#-  -------- -------- -------- -------- --------  --------  --------
10      6790     4226     5230     5742     6093      6408      6790
11     17669    11069    13742    15030    15925     16753     17669
12     46670    29249    36174    39715    42005     44047     46670
13    121805    76537    95251   104075   110103    115565    121805
14    321891   202261   250225   274795   290208    303930    321891
15    841960   529523   659306   720393   761877    798947    841960
16   2224640  1398683  1731357  1901139  2007264   2101817   2224640
17   5828352  3665411  4562604  4987559  5274585   5529085   5828352
18  15390845  9677051 11986280 13156719 13893148  14550155  15390845
19  40374451 25387048 31587290 34546756 36530285  38284361  40374451
20 106546856 66991510 83033976 91102606 96214246 100776277 106546856
