#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,0)    (5,0)     (6,0)     (7,0)
#-  -------- -------- -------- -------- -------- --------  --------  --------
10      6810     4203     5213     5647     6017     6217      6546      6810
11     17892    11076    13586    14914    15585    16402     16939     17892
12     46827    29035    36058    39098    41455    42859     44915     46827
13    123271    76661    94204   103280   107979   113058    116810    123271
14    322832   200862   249673   270930   286375   296049    309267    322832
15    850887   530606   652970   715461   748149   780972    806941    850887
16   2230695  1390443  1728579  1877130  1981049  2047683   2135220   2230695
17   5882999  3672548  4524696  4955763  5183519  5402844   5583307   5882999
18  15436533  9629131 11967126 13003680 13713655 14176417  14767533  15436533
19  40720376 25426555 31352387 34325738 35916894 37412257  38670848  40720376
20 106917616 66708024 82871347 90094222 94973129 98204995 102243275 106917616
