#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,0)    (5,0)    (6,0)     (7,0)     (8,0)
#-  -------- -------- -------- -------- -------- -------- --------  --------  --------
10      6841     4203     5189     5628     5922     6141     6355      6573      6841
11     17918    11046    13563    14756    15466    16062    16595     17169     17918
12     47187    29043    35805    38914    40835    42312    43734     45206     47187
13    123523    76313    94002   102154   107075   110937   114467    118417    123523
14    325552   201044   247748   269544   282388   292251   301557    311427    325552
15    852526   527963   651851   708003   741826   767271   790586    817290    852526
16   2248421  1392367  1715938  1868284  1955253  2021388  2082928   2149269   2248421
17   5892878  3655524  4519469  4908167  5141684  5311431  5466861   5648813   5892878
18  15547941  9644048 11888553 12950576 13545074 13993758 14406779  14857232  15547941
19  40783559 25322185 31327110 34023852 35641834 36791889 37843372  39089723  40783559
20 107621220 66809872 82383511 89761903 93858385 96937108 99747742 102836044 107621220
