#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,0)    (5,0)    (6,0)     (7,0)     (8,0)     (9,0)
#-  -------- -------- -------- -------- -------- -------- --------  --------  --------  --------
10      6842     4202     5188     5604     5903     6046     6279      6382      6604      6842
11     17957    11046    13532    14731    15308    15943    16255     16825     17203     17957
12     47220    29005    35775    38659    40648    41692    43187     44033     45574     47220
13    124080    76322    93606   101867   105946   110029   112354    116082    118862    124080
14    325946   200503   247415   267522   280859   288268   297762    303954    314348    325946
15    857407   528219   648420   705590   734219   760742   777169    801174    821041    857407
16   2251328  1387587  1713729  1853978  1943946  1995711  2056630   2100074   2169372   2251328
17   5927547  3658754  4494829  4891383  5091520  5265750  5379633   5535384   5674912   5927547
18  15566026  9610095 11877172 12855416 13467601 13826702 14222298  14523324  14988657  15566026
19  41011330 25350463 31165468 33918958 35315525 36476055 37260735  38285129  39259826  41011330
20 107733251 66589312 82329499 89151194 93347910 95835451 98447372 100526710 103677927 107733251
