#N    (0,-1)    (1,0)    (2,0)    (3,0)     (4,0)    (5,1)    (6,1)    (7,1)    (8,1)     (9,1)
#-  -------- -------- -------- --------  -------- -------- -------- -------- --------  --------
10      6720     4311     5399     6012      6534     4198     5280     5817     6291      6720
11     17634    11309    14148    15724     17091    11031    13761    15303    16356     17634
12     46365    29739    37285    41475     45032    28953    36339    40202    43275     46365
13    121654    78100    97755   108720    118128    76114    95140   105560   113208    121654
14    320289   205373   257453   286486    311204   200103   250774   277868   298455    320289
15    840140   539533   676021   751946    816833   526031   658483   729524   783056    840140
16   2213870  1420043  1779602  1980787   2152691  1384940  1734000  1922256  2061663   2213870
17   5807781  3730410  4678320  5203739   5652340  3639901  4560902  5047755  5418518   5807781
18  15314114  9825698 12311660 13706847  14901014  9591868 12002305 13308146 14258609  15314114
19  40189499 25813105 32390473 36032351  39143294 25206161 31601474 34951589 37519971  40189499
20 106013986 68020095 85232098 94912956 103202784 66454727 83127594 92184225 98703632 106013986
