#N    (0,-1)    (1,0)    (2,0)     (3,0)    (4,1)    (5,1)    (6,1)    (7,2)    (8,2)    (9,2)    (10,2)
#-  -------- -------- --------  -------- -------- -------- -------- -------- -------- --------  --------
10      6630     4371     5608      6357     4268     5518     6258     4190     5327     6009      6630
11     17343    11528    14586     16786    11313    14287    16462    11001    13922    15721     17343
12     45680    30206    38646     43960    29494    37890    43123    28871    36703    41403     45680
13    119731    79576   100938    115735    77880    98817   113414    75886    96155   108531    119731
14    315306   208849   266594    303954   204047   261171   297923   199351   253367   285810    315306
15    827480   549575   698544    799196   537505   684084   783320   524199   664766   750243    827480
16   2179364  1444433  1841085   2102805  1412177  1803945  2061514  1378519  1751114  1975470   2179364
17   5722333  3798060  4834875   5524737  3715232  4737689  5418002  3625349  4600413  5190210   5722333
18  15075846  9994676 12727441  14554151  9778146 12476956 14275735  9542900 12115518 13666792  15075846
19  39598334 26268599 33474590  38224100 25706246 32824118 37509810 25096109 31860974 35930227  39598334
20 104356266 69189749 88057303 100779069 67733949 86374671 98908951 66106730 83890346 94621483 104356266
