#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,2)
#- -------- -------- -------- -------- --------
10     5815     4926     4600     4172     5815
11    15195    12726    11888    10874    15195
12    40025    33854    31673    28750    40025
13   104901    87836    82078    75036   104901
14   276079   233202   218185   198286   276079
15   724867   607537   567722   518439   724867
16  1907081  1608691  1504987  1369001  1907081
17  5012499  4205624  3930925  3586432  5012499
18 13189049 11110723 10394760  9462013 13189049
19 34686493 29125773 27231006 24828788 34686493
20 91289597 76829484 71876538 65457061 91289597
