#N   (0,-1)    (1,0)    (2,1)    (3,1)    (4,2)    (5,2)
#- -------- -------- -------- -------- -------- --------
10     5961     4773     4136     5707     4455     5961
11    15739    12577    10923    14819    11520    15739
12    41051    32815    28533    39327    30556    41051
13   108349    86700    75402   102443    79522   108349
14   283305   226530   197099   271423   210587   283305
15   747984   598272   520720   708154   549409   747984
16  1958246  1566226  1362563  1875056  1454418  1958246
17  5171105  4134233  3598836  4899003  3799738  5171105
18 13548093 10836315  9426562 12963973 10055520 13548093
19 35778044 28600479 24894331 33917400 26301653 35778044
20 93796452 75013396 65259651 89704470 69570443 93796452
