#N    (0,-1)    (1,0)    (2,0)    (3,1)    (4,1)    (5,2)    (6,2)     (7,2)
#-  -------- -------- -------- -------- -------- -------- --------  --------
10      6401     4524     6003     4393     5723     4164     5457      6401
11     16760    11925    15541    11354    15124    10949    14233     16760
12     44000    31150    41242    30212    39516    28709    37592     44000
13    115635    82130   107322    78550   104386    75626    98251    115635
14    303352   214791   284101   208238   273309   198289   259628    303352
15    798841   566518   741607   543650   721435   523060   679103    798841
16   2095560  1483428  1960830  1438201  1891478  1371394  1795118   2095560
17   5524405  3913253  5128988  3763073  4990674  3619075  4699001   5524405
18  14496455 10258464 13553760  9945802 13093996  9492132 12419131  14496455
19  38230418 27065028 35501137 26054912 34545572 25050460 32538623  38230418
20 100373729 71008195 93791533 68834363 90674395 65733255 85963639 100373729
