#N    (0,-1)    (1,0)    (2,0)    (3,1)    (4,1)    (5,1)    (6,2)    (7,2)     (8,2)
#-  -------- -------- -------- -------- -------- -------- -------- --------  --------
10      6452     4494     5860     4167     5418     6264     4307     5595      6452
11     16935    11772    15342    10946    14116    16445    11351    14561     16935
12     44515    30962    40371    28737    37266    43233    29747    38436     44515
13    116688    81214   105895    75507    97625   113400    78167   100635    116688
14    307299   213703   278760   198613   257172   298832   205536   264874    307299
15    805221   560793   731919   521773   675689   783528   539446   695726    805221
16   2123092  1476612  1926929  1374402  1777734  2067281  1421220  1828605   2123092
17   5564554  3876713  5063172  3609693  4679330  5420475  3728117  4812666   5564554
18  14682098 10211864 13331265  9515640 12302050 14311391  9833384 12640933  14682098
19  38498072 26825033 35047854 24991221 32414093 37529281 25791955 33310177  38498072
20 101612514 70676730 92294017 65902348 85190810 99116039 68075254 87477917 101612514
