#N    (0,-1)    (1,0)    (2,0)    (3,1)    (4,1)    (5,2)    (6,2)    (7,3)    (8,3)     (9,3)
#-  -------- -------- -------- -------- -------- -------- -------- -------- --------  --------
10      6401     4536     6015     4427     5860     4347     5716     4164     5457      6401
11     16760    11937    15675    11566    15317    11299    15008    10937    14233     16760
12     44055    31327    41388    30489    40357    29841    39379    28697    37562     44055
13    115635    82319   108361    79895   105771    78029   103406    75382    98276    115635
14    304135   216340   285408   210302   278551   205649   271961   198064   259040    304135
15    798438   568290   748834   552164   731033   539596   714426   520585   679426    798438
16   2102071  1494748  1970943  1452825  1925124  1420972  1881081  1369441  1789310   2102071
17   5518704  3926303  5177122  3817826  5056882  3734065  4943459  3599752  4701738   5518704
18  14541081 10334620 13623764 10047270 13317106  9832513 13022723  9479277 12374501  14541081
19  38180554 27149782 35814990 26415408 35005210 25857781 34235566 24916070 32558731  38180554
20 100659455 71500306 94247388 69531421 92186878 68087838 90210644 65655271 85656152 100659455
