#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,4)    (6,4)
#- -------- -------- -------- -------- -------- -------- --------
10     5815     4990     4765     4597     4423     4113     5815
11    15167    13094    12541    12109    11643    10805    15167
12    39997    34386    32902    31781    30567    28345    39997
13   104631    89950    86136    83307    80232    74467   104631
14   275781   237068   227141   219805   211602   195895   275781
15   723043   619507   593281   574750   554300   514331   723043
16  1904915  1636115  1569041  1520930  1465261  1355046  1904915
17  5001407  4276828  4095450  3972467  3834702  3556942  5001407
18 13173003 11305106 10847197 10525813 10145291  9377514 13173003
19 34619623 29576039 28321170 27488499 26547871 24617404 34619623
20 91168931 78196885 75043934 72857493 70244402 64921069 91168931
