#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,2)    (5,3)    (6,4)    (7,4)
#- -------- -------- -------- -------- -------- -------- -------- --------
10     5875     4935     4581     4118     5765     4811     4290     5875
11    15510    12844    11892    10810    14930    12329    11050    15510
12    40486    33924    31469    28354    39624    33017    29475    40486
13   106875    88693    82173    74542   103197    85298    76337   106875
14   279315   233542   216757   195700   273181   227141   202856   279315
15   737217   612937   568508   515167   713921   590634   527921   737217
16  1929861  1610752  1496070  1352728  1887371  1566137  1398660  1929861
17  5091368  4238451  3935238  3564340  4942288  4090326  3652803  5091368
18 13347084 11129177 10341201  9359372 13055778 10818958  9658563 13347084
19 35201954 29325551 27245337 24674859 34227522 28328519 25284324 35201954
20 92379688 76996967 71563384 64798983 90380554 74838511 66786391 92379688
