#N   (0,-1)    (1,0)    (2,1)    (3,1)    (4,2)    (5,3)    (6,3)    (7,4)    (8,4)
#- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     5984     4841     4243     5821     4733     4129     5688     4455     5984
11    15762    12659    11084    15241    12346    10825    14800    11543    15762
12    41312    33294    29191    40099    32484    28421    39052    30542    41312
13   108557    87381    76530   105177    85213    74606   102229    79822   108557
14   285316   229663   201322   276757   224101   196136   269254   210315   285316
15   749006   603071   528533   726529   588610   515177   706690   551734   749006
16  1971446  1586755  1390774  1912506  1549438  1356002  1860483  1451879  1971446
17  5175290  4165535  3653108  5023932  4069750  3562522  4890015  3814983  5175290
18 13631814 10972054  9617657 13227650 10723422  9384743 12870505 10036540 13631814
19 35796748 28803380 25269524 34769465 28166689 24657386 33861128 26397690 35796748
20 94334796 75914855 66555061 91551434 74253092 64989677 89097269 69441520 94334796
