#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,4)    (6,5)    (7,6)    (8,7)    (9,7)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     5815     4990     4779     4661     4602     4574     4524     4409     4113     5815
11    15167    13136    12723    12547    12436    12282    12026    11629    10805    15167
12    39997    34428    33112    32383    31908    31544    31110    30329    28303    39997
13   104631    90586    87796    86435    85334    84086    82444    79966    74425   104631
14   275781   237788   229315   224623   221124   218012   214558   209134   195217   275781
15   722779   625652   606192   595914   587264   578194   567331   551234   513569   722779
16  1904651  1643968  1587742  1556626  1531988  1508843  1483253  1444765  1348431  1904651
17  4997861  4324484  4187289  4112712  4050339  3987403  3914618  3806768  3548619  4997861
18 13169193 11373098 10992316 10782511 10613420 10450773 10268351  9995894  9325205 13169193
19 34586101 29904516 28939226 28412571 27979516 27551420 27060376 26325460 24545151 34586101
20 91130997 78715526 76108314 74685049 73537772 72422213 71149955 69234996 64553251 91130997
