#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,4)    (6,5)    (7,6)    (8,7)    (9,8)   (10,8)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     5815     4990     4779     4661     4602     4588     4574     4524     4409     4113     5815
11    15167    13136    12723    12547    12478    12422    12282    12026    11629    10805    15167
12    39997    34428    33112    32383    31950    31712    31502    31110    30329    28303    39997
13   104631    90586    87796    86567    85838    85110    84044    82444    79966    74425   104631
14   275781   237788   229315   224755   221712   219466   217334   214426   209134   195217   275781
15   722779   625652   606621   597762   591429   585092   577432   567199   551234   513569   722779
16  1904651  1643968  1588171  1558738  1537597  1519823  1502360  1480844  1444336  1348431  1904651
17  4997861  4325914  4194153  4129769  4080685  4032708  3979212  3911945  3806339  3548619  4997861
18 13169193 11374528 11000038 10804602 10658804 10529286 10399029 10242699  9987171  9323775 13169193
19 34586101 29930256 29009274 28546800 28189186 27847082 27479732 27028832 26315879 24543721 34586101
20 91130997 78744126 76196358 74876500 73877946 72970401 72042487 70928304 69132751 64526081 91130997
