#N          theta=0.0000     theta=5.7106     theta=6.3402     theta=7.1250     theta=8.1301     theta=9.4623     theta=11.3099    theta=12.5288    theta=14.0362    theta=15.9454    theta=16.6992    theta=18.4349    theta=20.5560    theta=21.8014    theta=23.1986    theta=23.9625    theta=26.5651    theta=26.5651    theta=29.0546    theta=29.7449    theta=30.9638    theta=32.0054    theta=33.6901    theta=34.9920    theta=35.5377    theta=36.8699    theta=37.8750    theta=38.6598    theta=39.8056    theta=40.6013    theta=41.1859    theta=41.6335    theta=41.9872    theta=45.0000   
#---------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ----------------
 10.0000000 6199.0000000     5768.2727273     5725.2000000     5672.7777778     5607.0000000     5530.7142857     5421.0000000     5476.0000000     5309.0000000     5324.0000000     5338.7272727     5101.5000000     5191.5555556     5104.8333333     5103.6250000     5108.7000000     4883.6666667     5023.8571429     4967.7000000     4927.3750000     4861.3333333     4891.4444444     4774.5000000     4850.4545455     4811.6250000     4737.0000000     4774.1000000     4707.0000000     4688.0000000     4675.5000000     4665.7777778     4658.0000000     4651.6363636     4588.0000000    
 11.0000000 16225.0000000    15097.1818182    14984.6000000    14846.7777778    14683.7500000    14465.2857143    14236.0000000    14338.8000000    13858.2000000    13937.3750000    13995.4545455    13458.5000000    13601.5555556    13336.6666667    13354.3750000    13366.9000000    12785.6666667    13149.8571429    13007.2000000    12903.2500000    12750.1666667    12787.2222222    12422.7500000    12623.3636364    12521.8750000    12311.4000000    12442.5000000    12292.6666667    12309.1428571    12328.5000000    12343.5555556    12355.6000000    12365.4545455    12464.0000000   
 12.0000000 42811.0000000    39782.6363636    39479.8000000    39119.8888889    38660.2500000    38158.4285714    37408.0000000    37761.8000000    36579.8000000    36710.3750000    36804.2727273    35183.0000000    35778.2222222    35176.6666667    35141.2500000    35179.2000000    33652.3333333    34615.0000000    34208.8000000    33930.5000000    33469.1666667    33646.2222222    32803.7500000    33346.9090909    33087.8750000    32610.4000000    32884.3000000    32453.8333333    32331.8571429    32249.1250000    32189.4444444    32141.7000000    32102.6363636    31712.0000000   
 13.0000000 112285.0000000   104331.1818182   103547.0000000   102577.8888889   101490.5000000   99981.8571429    98349.6666667    99049.3000000    95763.8000000    96213.3750000    96595.3636364    92851.5000000    93848.6666667    92074.3333333    92190.7500000    92245.6000000    88201.0000000    90723.0000000    89701.3000000    88976.7500000    87969.6666667    88235.6666667    85817.2500000    87162.6363636    86457.1250000    84977.4000000    85803.5000000    84732.3333333    84741.4285714    84840.0000000    84936.0000000    85012.8000000    85075.6363636    85704.0000000   
 14.0000000 296051.0000000   274828.4545455   272708.0000000   270283.8888889   267106.2500000   263653.0000000   258470.0000000   260810.8000000   252463.4000000   253542.0000000   254156.6363636   243036.5000000   247044.6666667   242787.0000000   242499.6250000   242751.4000000   232223.0000000   238863.2857143   236064.0000000   234202.6250000   231007.1666667   232111.1111111   226091.2500000   229813.3636364   228024.0000000   224807.6000000   226833.1000000   224017.8333333   223312.4285714   222768.6250000   222377.0000000   222076.9000000   221831.3636364   219376.0000000  
 15.0000000 777411.0000000   721580.2727273   716220.0000000   709475.4444444   702074.0000000   691647.0000000   679966.0000000   684759.8000000   662328.6000000   665101.2500000   667555.5454545   641458.0000000   648429.7777778   636405.5000000   637159.2500000   637337.7000000   609474.3333333   626912.4285714   619602.7000000   614543.0000000   607543.1666667   609391.8888889   593138.7500000   602459.9090909   597684.0000000   587400.8000000   592801.5000000   585248.6666667   584791.8571429   585122.3750000   585673.1111111   586169.8000000   586576.1818182   590640.0000000  
 16.0000000 2049025.0000000  1900754.2727273  1885994.2000000  1869579.4444444  1847655.2500000  1823369.0000000  1787491.0000000  1803479.2000000  1744966.6000000  1752974.7500000  1757176.8181818  1680549.0000000  1707808.5555556  1677612.1666667  1675925.3750000  1677595.6000000  1604452.3333333  1650375.2857143  1630913.7000000  1618481.6250000  1596512.0000000  1603920.5555556  1561411.2500000  1586736.0909091  1574288.3750000  1551752.2000000  1566374.5000000  1547642.1666667  1543764.8571429  1540421.7500000  1537830.5555556  1535869.8000000  1534304.5454545  1518652.0000000 
 17.0000000 5384855.0000000  4994319.1818182  4957846.6000000  4911150.1111111  4859778.0000000  4787572.4285714  4704838.3333333  4737956.7000000  4583747.4000000  4601739.5000000  4617477.1818182  4435848.5000000  4484934.7777778  4402743.3333333  4407193.0000000  4407560.3000000  4215350.3333333  4335985.5714286  4284941.8000000  4249718.1250000  4200291.8333333  4213073.0000000  4101782.5000000  4166993.7272727  4134894.2500000  4064382.4000000  4100605.4000000  4047637.1666667  4042105.4285714  4042235.7500000  4044828.7777778  4047871.2000000  4050529.4545455  4077112.0000000 
 18.0000000 14190509.0000000 13157010.4545455 13054738.6000000 12942001.0000000 12790400.7500000 12618749.8571429 12371032.0000000 12481212.9000000 12072858.6000000 12129196.7500000 12159187.3636364 11630251.0000000 11816029.4444444 11602745.0000000 11593984.0000000 11605213.2000000 11097451.6666667 11415282.1428571 11278804.3000000 11194300.5000000 11042837.5000000 11094347.5555556 10797702.5000000 10970426.0000000 10883688.1250000 10723711.6000000 10826286.2000000 10699531.5000000 10678776.8571429 10659145.5000000 10642607.2222222 10629596.6000000 10619354.5454545 10518364.0000000
 19.0000000 37313977.0000000 34589249.9090909 34339395.2000000 34016189.8888889 33656451.2500000 33156748.4285714 32575033.0000000 32805407.8000000 31738444.6000000 31860107.8750000 31962656.0000000 30698548.5000000 31044323.0000000 30480071.3333333 30504576.2500000 30505016.2000000 29174184.3333333 30009467.5714286 29656217.3000000 29412066.0000000 29064373.0000000 29153266.2222222 28382694.7500000 28837090.4545455 28620365.6250000 28140169.6000000 28388712.6000000 28018847.0000000 27969715.7142857 27959014.5000000 27968253.8888889 27984948.8000000 28001871.2727273 28177388.0000000
