#theta      N=10         N=11          N=12          N=13           N=14           N=15           N=16            N=17            N=18             N=19             N=20            
#---------- ------------ ------------- ------------- -------------- -------------- -------------- --------------- --------------- ---------------- ---------------- ----------------
  0.0000000 6199.0000000 16225.0000000 42811.0000000 112285.0000000 296051.0000000 777411.0000000 2049025.0000000 5384855.0000000 14190509.0000000 37313977.0000000 98324565.0000000
  5.7105931 5768.2727273 15097.1818182 39782.6363636 104331.1818182 274828.4545455 721580.2727273 1900754.2727273 4994319.1818182 13157010.4545455 34589249.9090909 91130494.0909091
  6.3401917 5725.2000000 14984.6000000 39479.8000000 103547.0000000 272708.0000000 716220.0000000 1885994.2000000 4957846.6000000 13054738.6000000 34339395.2000000 90422793.8000000
  7.1250163 5672.7777778 14846.7777778 39119.8888889 102577.8888889 270283.8888889 709475.4444444 1869579.4444444 4911150.1111111 12942001.0000000 34016189.8888889 89640628.5555556
  8.1301024 5607.0000000 14683.7500000 38660.2500000 101490.5000000 267106.2500000 702074.0000000 1847655.2500000 4859778.0000000 12790400.7500000 33656451.2500000 88590079.0000000
  9.4623222 5530.7142857 14465.2857143 38158.4285714 99981.8571429  263653.0000000 691647.0000000 1823369.0000000 4787572.4285714 12618749.8571429 33156748.4285714 87379568.7142857
 11.3099325 5421.0000000 14236.0000000 37408.0000000 98349.6666667  258470.0000000 679966.0000000 1787491.0000000 4704838.3333333 12371032.0000000 32575033.0000000 85673166.0000000
 12.5288077 5476.0000000 14338.8000000 37761.8000000 99049.3000000  260810.8000000 684759.8000000 1803479.2000000 4737956.7000000 12481212.9000000 32805407.8000000 86430682.4000000
 14.0362435 5309.0000000 13858.2000000 36579.8000000 95763.8000000  252463.4000000 662328.6000000 1744966.6000000 4583747.4000000 12072858.6000000 31738444.6000000 83589615.0000000
 15.9453959 5324.0000000 13937.3750000 36710.3750000 96213.3750000  253542.0000000 665101.2500000 1752974.7500000 4601739.5000000 12129196.7500000 31860107.8750000 83976039.1250000
 16.6992442 5338.7272727 13995.4545455 36804.2727273 96595.3636364  254156.6363636 667555.5454545 1757176.8181818 4617477.1818182 12159187.3636364 31962656.0000000 84193204.2727273
 18.4349488 5101.5000000 13458.5000000 35183.0000000 92851.5000000  243036.5000000 641458.0000000 1680549.0000000 4435848.5000000 11630251.0000000 30698548.5000000 80537704.0000000
 20.5560452 5191.5555556 13601.5555556 35778.2222222 93848.6666667  247044.6666667 648429.7777778 1707808.5555556 4484934.7777778 11816029.4444444 31044323.0000000 81805330.7777778
 21.8014095 5104.8333333 13336.6666667 35176.6666667 92074.3333333  242787.0000000 636405.5000000 1677612.1666667 4402743.3333333 11602745.0000000 30480071.3333333 80308049.6666667
 23.1985905 5103.6250000 13354.3750000 35141.2500000 92190.7500000  242499.6250000 637159.2500000 1675925.3750000 4407193.0000000 11593984.0000000 30504576.2500000 80264045.5000000
 23.9624890 5108.7000000 13366.9000000 35179.2000000 92245.6000000  242751.4000000 637337.7000000 1677595.6000000 4407560.3000000 11605213.2000000 30505016.2000000 80339062.4000000
 26.5650512 4883.6666667 12785.6666667 33652.3333333 88201.0000000  232223.0000000 609474.3333333 1604452.3333333 4215350.3333333 11097451.6666667 29174184.3333333 76816841.0000000
 26.5650512 5023.8571429 13149.8571429 34615.0000000 90723.0000000  238863.2857143 626912.4285714 1650375.2857143 4335985.5714286 11415282.1428571 30009467.5714286 79017587.5714286
 29.0546041 4967.7000000 13007.2000000 34208.8000000 89701.3000000  236064.0000000 619602.7000000 1630913.7000000 4284941.8000000 11278804.3000000 29656217.3000000 78064077.7000000
 29.7448813 4927.3750000 12903.2500000 33930.5000000 88976.7500000  234202.6250000 614543.0000000 1618481.6250000 4249718.1250000 11194300.5000000 29412066.0000000 77481128.5000000
 30.9637565 4861.3333333 12750.1666667 33469.1666667 87969.6666667  231007.1666667 607543.1666667 1596512.0000000 4200291.8333333 11042837.5000000 29064373.0000000 76434010.5000000
 32.0053832 4891.4444444 12787.2222222 33646.2222222 88235.6666667  232111.1111111 609391.8888889 1603920.5555556 4213073.0000000 11094347.5555556 29153266.2222222 76791931.2222222
 33.6900675 4774.5000000 12422.7500000 32803.7500000 85817.2500000  226091.2500000 593138.7500000 1561411.2500000 4101782.5000000 10797702.5000000 28382694.7500000 74734706.2500000
 34.9920202 4850.4545455 12623.3636364 33346.9090909 87162.6363636  229813.3636364 602459.9090909 1586736.0909091 4166993.7272727 10970426.0000000 28837090.4545455 75922237.8181818
 35.5376778 4811.6250000 12521.8750000 33087.8750000 86457.1250000  228024.0000000 597684.0000000 1574288.3750000 4134894.2500000 10883688.1250000 28620365.6250000 75317932.6250000
 36.8698976 4737.0000000 12311.4000000 32610.4000000 84977.4000000  224807.6000000 587400.8000000 1551752.2000000 4064382.4000000 10723711.6000000 28140169.6000000 74181948.2000000
 37.8749837 4774.1000000 12442.5000000 32884.3000000 85803.5000000  226833.1000000 592801.5000000 1566374.5000000 4100605.4000000 10826286.2000000 28388712.6000000 74890293.7000000
 38.6598083 4707.0000000 12292.6666667 32453.8333333 84732.3333333  224017.8333333 585248.6666667 1547642.1666667 4047637.1666667 10699531.5000000 28018847.0000000 74018743.6666667
 39.8055711 4688.0000000 12309.1428571 32331.8571429 84741.4285714  223312.4285714 584791.8571429 1543764.8571429 4042105.4285714 10678776.8571429 27969715.7142857 73907683.2857143
 40.6012946 4675.5000000 12328.5000000 32249.1250000 84840.0000000  222768.6250000 585122.3750000 1540421.7500000 4042235.7500000 10659145.5000000 27959014.5000000 73795776.6250000
 41.1859252 4665.7777778 12343.5555556 32189.4444444 84936.0000000  222377.0000000 585673.1111111 1537830.5555556 4044828.7777778 10642607.2222222 27968253.8888889 73693990.7777778
