#theta      N=10          N=11          N=12          N=13           N=14           N=15            N=16            N=17             N=18             N=19             N=20             
#---------- ------------- ------------- ------------- -------------- -------------- --------------- --------------- ---------------- ---------------- ---------------- -----------------
  0.0000000 12398.0000000 32450.0000000 85622.0000000 224570.0000000 592102.0000000 1554822.0000000 4098050.0000000 10769710.0000000 28381018.0000000 74627954.0000000 196649130.0000000
  5.7105931 11536.5454545 30194.3636364 79565.2727273 208662.3636364 549656.9090909 1443160.5454545 3801508.5454545 9988638.3636364  26314020.9090909 69178499.8181818 182260988.1818182
  6.3401917 11450.4000000 29969.2000000 78959.6000000 207094.0000000 545416.0000000 1432440.0000000 3771988.4000000 9915693.2000000  26109477.2000000 68678790.4000000 180845587.6000000
  7.1250163 11345.5555556 29693.5555556 78239.7777778 205155.7777778 540567.7777778 1418950.8888889 3739158.8888889 9822300.2222222  25884002.0000000 68032379.7777778 179281257.1111111
  8.1301024 11214.0000000 29367.5000000 77320.5000000 202981.0000000 534212.5000000 1404148.0000000 3695310.5000000 9719556.0000000  25580801.5000000 67312902.5000000 177180158.0000000
  9.4623222 11061.4285714 28930.5714286 76316.8571429 199963.7142857 527306.0000000 1383294.0000000 3646738.0000000 9575144.8571429  25237499.7142857 66313496.8571429 174759137.4285714
 11.3099325 10842.0000000 28472.0000000 74816.0000000 196699.3333333 516940.0000000 1359932.0000000 3574982.0000000 9409676.6666667  24742064.0000000 65150066.0000000 171346332.0000000
 12.5288077 10740.1818182 28126.7272727 74064.9090909 194289.6363636 511542.0000000 1343114.7272727 3537242.7272727 9292723.0909091  24479604.9090909 64339487.8181818 169513985.2727273
 14.0362435 10618.0000000 27716.4000000 73159.6000000 191527.6000000 504926.8000000 1324657.2000000 3489933.2000000 9167494.8000000  24145717.2000000 63476889.2000000 167179230.0000000
 15.9453959 10435.3333333 27323.7777778 71958.8888889 188587.3333333 496984.2222222 1303491.7777778 3435981.5555556 9017980.2222222  23773498.8888889 62434079.7777778 164591146.0000000
 16.6992442 10363.8461538 27198.6153846 71468.7692308 187693.0769231 493633.6923077 1296952.4615385 3413162.3076923 8970083.2307692  23619058.9230769 62086778.6153846 163545991.5384615
 18.4349488 10203.0000000 26917.0000000 70366.0000000 185703.0000000 486073.0000000 1282916.0000000 3361098.0000000 8871697.0000000  23260502.0000000 61397097.0000000 161075408.0000000
 20.5560452 10095.4545455 26461.2727273 69584.1818182 182548.9090909 480480.1818182 1261110.3636364 3321474.3636364 8721680.5454545  22979911.4545455 60366526.3636364 159090902.0000000
 21.8014095 10034.0000000 26209.4285714 69128.8571429 180928.2857143 477085.4285714 1250526.0000000 3296497.4285714 8651256.2857143  22798913.4285714 59891917.4285714 157799202.5714286
 23.1985905 9949.2000000  26022.8000000 68498.4000000 179641.2000000 472605.2000000 1241488.4000000 3265806.4000000 8586774.0000000  22591227.6000000 59431310.0000000 156390984.4000000
 23.9624890 9907.2307692  25918.6153846 68222.9230769 178876.7692308 470739.2307692 1235911.8461538 3253000.1538462 8546738.0000000  22502543.8461538 59149712.7692308 155770798.3076923
 26.5650512 9767.3333333  25571.3333333 67304.6666667 176402.0000000 464446.0000000 1218948.6666667 3208904.6666667 8430700.6666667  22194903.3333333 58348368.6666667 153633682.0000000
 26.5650512 9767.3333333  25571.3333333 67304.6666667 176402.0000000 464446.0000000 1218948.6666667 3208904.6666667 8430700.6666667  22194903.3333333 58348368.6666667 153633682.0000000
 29.0546041 9671.1428571  25321.7142857 66594.2857143 174616.5714286 459568.0000000 1206068.5714286 3175003.7142857 8340432.2857143  21955937.7142857 57722674.0000000 151955482.8571429
 29.7448813 9644.9090909  25253.6363636 66400.5454545 174129.6363636 458289.6363636 1202503.8181818 3166798.0000000 8314934.3636364  21901584.9090909 57545070.3636364 151583293.6363636
 30.9637565 9599.0000000  25149.5000000 66046.5000000 173510.0000000 455790.0000000 1198235.0000000 3149929.0000000 8283930.5000000  21787215.0000000 57322092.5000000 150796975.5000000
 32.0053832 9583.8461538  25033.3846154 65896.4615385 172779.5384615 454523.2307692 1193303.8461538 3140635.5384615 8249389.6923077  21722892.4615385 57079489.0769231 150352601.3846154
