#N          theta=0.0000     theta=5.7106     theta=6.3402     theta=7.1250     theta=8.1301     theta=9.4623     theta=11.3099    theta=12.5288    theta=14.0362    theta=15.9454    theta=16.6992    theta=18.4349    theta=20.5560    theta=21.8014    theta=23.1986    theta=23.9625    theta=26.5651    theta=26.5651    theta=29.0546    theta=29.7449    theta=30.9638    theta=32.0054    theta=33.6901    theta=34.9920    theta=35.5377    theta=36.8699    theta=37.8750    theta=38.6598    theta=39.8056    theta=40.6013    theta=41.1859    theta=41.6335    theta=41.9872    theta=45.0000   
#---------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ----------------
 10.0000000 6199.0000000     6008.3636364     5989.2000000     5965.8888889     5932.8750000     5897.0000000     5827.3333333     5728.2000000     5769.6000000     5628.5000000     5560.5454545     5609.5000000     5445.4444444     5470.0000000     5383.2500000     5332.4000000     5374.3333333     5234.1428571     5159.5000000     5167.1250000     5165.5000000     5097.5555556     5171.7500000     5010.1818182     5031.2500000     5065.6000000     4945.7000000     4988.3333333     4931.1428571     4888.2500000     4854.8888889     4828.2000000     4806.3636364     4588.0000000    
 11.0000000 16225.0000000    15725.6363636    15675.7000000    15610.3333333    15535.7500000    15408.1428571    15299.0000000    14999.1000000    15058.8000000    14726.8750000    14572.0000000    14799.2500000    14267.0000000    14277.6666667    14080.7500000    13949.2000000    14060.3333333    13696.1428571    13510.9000000    13529.1250000    13552.8333333    13335.7777778    13481.7500000    13050.6363636    13109.3750000    13175.6000000    12895.5000000    13017.3333333    12932.2857143    12873.7500000    12828.2222222    12791.8000000    12762.0000000    12464.0000000   
 12.0000000 42811.0000000    41442.9090909    41301.3000000    41135.8888889    40884.2500000    40647.1428571    40195.1666667    39503.0000000    39754.8000000    38796.7500000    38332.3636364    38683.0000000    37531.3333333    37678.6666667    37052.6250000    36715.0000000    37021.6666667    36059.0000000    35534.8000000    35580.5000000    35555.5000000    35078.5555556    35549.5000000    34455.8181818    34604.3750000    34865.4000000    34071.9000000    34370.1666667    33996.4285714    33710.8750000    33488.7777778    33311.1000000    33165.7272727    31712.0000000   
 13.0000000 112285.0000000   108680.8181818   108322.8000000   107823.4444444   107316.7500000   106448.7142857   105679.8333333   103603.3000000   104070.0000000   101637.3750000   100581.2727273   102098.2500000   98424.3333333    98564.8333333    97191.8750000    96270.9000000    97028.0000000    94506.0000000    93193.6000000    93275.8750000    93460.8333333    92008.0000000    93092.2500000    90114.0000000    90498.7500000    90950.4000000    88954.9000000    89743.3333333    89050.5714286    88615.7500000    88292.2222222    88033.4000000    87821.6363636    85704.0000000   
 14.0000000 296051.0000000   286306.9090909   285252.3000000   284118.1111111   282352.5000000   280743.0000000   277718.0000000   272829.4000000   274358.0000000   267860.2500000   264698.0000000   267210.0000000   259120.8888889   260041.0000000   255632.5000000   253358.5000000   255464.0000000   248823.7142857   245223.2000000   245516.0000000   245374.8333333   242020.0000000   245105.0000000   237516.3636364   238475.8750000   240366.2000000   235050.3000000   237175.8333333   234724.7142857   232822.6250000   231328.5555556   230133.3000000   229155.3636364   219376.0000000  
 15.0000000 777411.0000000   751634.2727273   749138.8000000   745538.0000000   742109.1250000   736280.8571429   730683.0000000   716170.7000000   719719.4000000   702492.8750000   695126.5454545   705386.7500000   679924.0000000   681337.3333333   671631.8750000   665123.0000000   670507.6666667   653069.5714286   643752.5000000   644106.5000000   645420.5000000   635372.8888889   643290.5000000   622855.9090909   625440.2500000   628686.4000000   614641.7000000   619909.3333333   614607.8571429   611257.1250000   608918.6666667   607090.8000000   605595.2727273   590640.0000000  
 16.0000000 2049025.0000000  1980012.2727273  1972368.3000000  1964696.5555556  1952686.7500000  1941362.8571429  1920599.0000000  1886372.2000000  1896220.0000000  1851643.1250000  1829980.9090909  1847725.0000000  1790996.3333333  1796744.6666667  1766446.1250000  1750858.6000000  1765182.6666667  1719259.7142857  1694156.4000000  1696233.7500000  1695792.5000000  1672303.2222222  1693135.7500000  1640195.4545455  1646430.0000000  1659368.2000000  1623224.3000000  1638401.0000000  1622317.5714286  1609648.1250000  1599585.1111111  1591491.8000000  1584870.0000000  1518652.0000000 
 17.0000000 5384855.0000000  5201789.9090909  5184725.9000000  5159745.0000000  5136084.3750000  5096564.0000000  5055750.3333333  4954744.7000000  4980760.4000000  4860212.7500000  4808112.0909091  4878076.0000000  4702141.5555556  4714042.0000000  4645359.2500000  4599455.5000000  4637573.6666667  4516938.4285714  4451643.7000000  4453446.1250000  4462336.6666667  4392269.4444444  4448266.5000000  4307973.0000000  4325772.7500000  4349595.8000000  4251644.5000000  4287530.6666667  4248457.5714286  4223164.1250000  4205808.0000000  4192795.4000000  4182278.7272727  4077112.0000000 
 18.0000000 14190509.0000000 13704000.8181818 13650331.7000000 13597989.1111111 13516326.0000000 13435006.1428571 13291949.5000000 13053437.5000000 13119548.8000000 12810980.2500000 12662182.4545455 12787454.2500000 12390080.3333333 12426070.5000000 12219524.3750000 12111393.6000000 12209858.3333333 11892027.8571429 11715452.8000000 11730346.6250000 11729759.3333333 11566244.3333333 11709773.0000000 11340947.4545455 11382152.1250000 11469118.8000000 11219644.7000000 11327151.0000000 11220989.5714286 11136669.8750000 11068906.6666667 11013995.4000000 10968938.0000000 10518364.0000000
 19.0000000 37313977.0000000 36021992.3636364 35905481.9000000 35734120.3333333 35568178.8750000 35297806.0000000 35003649.6666667 34303741.6000000 34487649.8000000 33649459.8750000 33281040.0909091 33759847.5000000 32545084.2222222 32636772.8333333 32152071.0000000 31831464.6000000 32097675.6666667 31262392.4285714 30806719.1000000 30819008.0000000 30878325.1666667 30390973.1111111 30780541.5000000 29811834.0909091 29936252.5000000 30111710.6000000 29432295.0000000 29679727.0000000 29398604.1428571 29211962.6250000 29083327.1111111 28989043.8000000 28914814.9090909 28177388.0000000
