#theta      N=10         N=11          N=12          N=13           N=14           N=15           N=16            N=17            N=18             N=19             N=20            
#---------- ------------ ------------- ------------- -------------- -------------- -------------- --------------- --------------- ---------------- ---------------- ----------------
  0.0000000 6199.0000000 16225.0000000 42811.0000000 112285.0000000 296051.0000000 777411.0000000 2049025.0000000 5384855.0000000 14190509.0000000 37313977.0000000 98324565.0000000
  5.7105931 6008.3636364 15725.6363636 41442.9090909 108680.8181818 286306.9090909 751634.2727273 1980012.2727273 5201789.9090909 13704000.8181818 36021992.3636364 94908142.2727273
  6.3401917 5989.2000000 15675.7000000 41301.3000000 108322.8000000 285252.3000000 749138.8000000 1972368.3000000 5184725.9000000 13650331.7000000 35905481.9000000 94537187.7000000
  7.1250163 5965.8888889 15610.3333333 41135.8888889 107823.4444444 284118.1111111 745538.0000000 1964696.5555556 5159745.0000000 13597989.1111111 35734120.3333333 94175222.7777778
  8.1301024 5932.8750000 15535.7500000 40884.2500000 107316.7500000 282352.5000000 742109.1250000 1952686.7500000 5136084.3750000 13516326.0000000 35568178.8750000 93616278.0000000
  9.4623222 5897.0000000 15408.1428571 40647.1428571 106448.7142857 280743.0000000 736280.8571429 1941362.8571429 5096564.0000000 13435006.1428571 35297806.0000000 93030332.4285714
 11.3099325 5827.3333333 15299.0000000 40195.1666667 105679.8333333 277718.0000000 730683.0000000 1920599.0000000 5055750.3333333 13291949.5000000 35003649.6666667 92049133.0000000
 12.5288077 5728.2000000 14999.1000000 39503.0000000 103603.3000000 272829.4000000 716170.7000000 1886372.2000000 4954744.7000000 13053437.5000000 34303741.6000000 90386608.3000000
 14.0362435 5769.6000000 15058.8000000 39754.8000000 104070.0000000 274358.0000000 719719.4000000 1896220.0000000 4980760.4000000 13119548.8000000 34487649.8000000 90838644.2000000
 15.9453959 5628.5000000 14726.8750000 38796.7500000 101637.3750000 267860.2500000 702492.8750000 1851643.1250000 4860212.7500000 12810980.2500000 33649459.8750000 88694469.5000000
 16.6992442 5560.5454545 14572.0000000 38332.3636364 100581.2727273 264698.0000000 695126.5454545 1829980.9090909 4808112.0909091 12662182.4545455 33281040.0909091 87670434.8181818
 18.4349488 5609.5000000 14799.2500000 38683.0000000 102098.2500000 267210.0000000 705386.7500000 1847725.0000000 4878076.0000000 12787454.2500000 33759847.5000000 88553361.2500000
 20.5560452 5445.4444444 14267.0000000 37531.3333333 98424.3333333  259120.8888889 679924.0000000 1790996.3333333 4702141.5555556 12390080.3333333 32545084.2222222 85773127.0000000
 21.8014095 5470.0000000 14277.6666667 37678.6666667 98564.8333333  260041.0000000 681337.3333333 1796744.6666667 4714042.0000000 12426070.5000000 32636772.8333333 86003601.0000000
 23.1985905 5383.2500000 14080.7500000 37052.6250000 97191.8750000  255632.5000000 671631.8750000 1766446.1250000 4645359.2500000 12219524.3750000 32152071.0000000 84594104.7500000
 23.9624890 5332.4000000 13949.2000000 36715.0000000 96270.9000000  253358.5000000 665123.0000000 1750858.6000000 4599455.5000000 12111393.6000000 31831464.6000000 83839480.8000000
 26.5650512 5374.3333333 14060.3333333 37021.6666667 97028.0000000  255464.0000000 670507.6666667 1765182.6666667 4637573.6666667 12209858.3333333 32097675.6666667 84519454.0000000
 26.5650512 5234.1428571 13696.1428571 36059.0000000 94506.0000000  248823.7142857 653069.5714286 1719259.7142857 4516938.4285714 11892027.8571429 31262392.4285714 82318707.4285714
 29.0546041 5159.5000000 13510.9000000 35534.8000000 93193.6000000  245223.2000000 643752.5000000 1694156.4000000 4451643.7000000 11715452.8000000 30806719.1000000 81080570.6000000
 29.7448813 5167.1250000 13529.1250000 35580.5000000 93275.8750000  245516.0000000 644106.5000000 1696233.7500000 4453446.1250000 11730346.6250000 30819008.0000000 81185826.5000000
 30.9637565 5165.5000000 13552.8333333 35555.5000000 93460.8333333  245374.8333333 645420.5000000 1695792.5000000 4462336.6666667 11729759.3333333 30878325.1666667 81190144.0000000
 32.0053832 5097.5555556 13335.7777778 35078.5555556 92008.0000000  242020.0000000 635372.8888889 1672303.2222222 4392269.4444444 11566244.3333333 30390973.1111111 80052500.0000000
 33.6900675 5171.7500000 13481.7500000 35549.5000000 93092.2500000  245105.0000000 643290.5000000 1693135.7500000 4448266.5000000 11709773.0000000 30780541.5000000 81049844.7500000
 34.9920202 5010.1818182 13050.6363636 34455.8181818 90114.0000000  237516.3636364 622855.9090909 1640195.4545455 4307973.0000000 11340947.4545455 29811834.0909091 78487415.9090909
 35.5376778 5031.2500000 13109.3750000 34604.3750000 90498.7500000  238475.8750000 625440.2500000 1646430.0000000 4325772.7500000 11382152.1250000 29936252.5000000 78765520.7500000
 36.8698976 5065.6000000 13175.6000000 34865.4000000 90950.4000000  240366.2000000 628686.4000000 1659368.2000000 4349595.8000000 11469118.8000000 30111710.6000000 79348455.4000000
 37.8749837 4945.7000000 12895.5000000 34071.9000000 88954.9000000  235050.3000000 614641.7000000 1623224.3000000 4251644.5000000 11219644.7000000 29432295.0000000 77612836.2000000
 38.6598083 4988.3333333 13017.3333333 34370.1666667 89743.3333333  237175.8333333 619909.3333333 1638401.0000000 4287530.6666667 11327151.0000000 29679727.0000000 78364736.1666667
 39.8055711 4931.1428571 12932.2857143 33996.4285714 89050.5714286  234724.7142857 614607.8571429 1622317.5714286 4248457.5714286 11220989.5714286 29398604.1428571 77657377.8571429
 40.6012946 4888.2500000 12873.7500000 33710.8750000 88615.7500000  232822.6250000 611257.1250000 1609648.1250000 4223164.1250000 11136669.8750000 29211962.6250000 77095132.6250000
 41.1859252 4854.8888889 12828.2222222 33488.7777778 88292.2222222  231328.5555556 608918.6666667 1599585.1111111 4205808.0000000 11068906.6666667 29083327.1111111 76639431.1111111
 41.6335393 4828.2000000 12791.8000000 33311.1000000 88033.4000000  230133.3000000 607090.8000000 1591491.8000000 4192795.4000000 11013995.4000000 28989043.8000000 76266907.0000000
 41.9872125 4806.3636364 12762.0000000 33165.7272727 87821.6363636  229155.3636364 605595.2727273 1584870.0000000 4182278.7272727 10968938.0000000 28914814.9090909 75959722.5454545
 45.0000000 4588.0000000 12464.0000000 31712.0000000 85704.0000000  219376.0000000 590640.0000000 1518652.0000000 4077112.0000000 10518364.0000000 28177388.0000000 72883016.0000000
