#N          theta=0.0000     theta=5.7106     theta=6.3402     theta=7.1250     theta=8.1301     theta=9.4623     theta=11.3099    theta=12.5288    theta=14.0362    theta=15.9454    theta=16.6992    theta=18.4349    theta=20.5560    theta=21.8014    theta=23.1986    theta=23.9625    theta=26.5651    theta=26.5651    theta=29.0546    theta=29.7449    theta=30.9638    theta=32.0054    theta=33.6901    theta=34.9920    theta=35.5377    theta=36.8699    theta=37.8750    theta=38.6598    theta=39.8056    theta=40.6013    theta=41.1859    theta=41.6335    theta=41.9872    theta=45.0000   
#---------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ---------------- ----------------
 10.0000000 6199.0000000     5768.2727273     5725.2000000     5672.7777778     5607.0000000     5530.7142857     5421.0000000     5370.0909091     5309.0000000     5217.6666667     5181.9230769     5101.5000000     5047.7272727     5017.0000000     4974.6000000     4953.6153846     4883.6666667     4883.6666667     4835.5714286     4822.4545455     4799.5000000     4791.9230769     4779.8000000     4765.2352941     4759.1666667     4744.4285714     4726.6250000     4712.7777778     4690.0909091     4674.3846154     4662.8666667     4654.0588235     4647.1052632     4588.0000000    
 11.0000000 16225.0000000    15097.1818182    14984.6000000    14846.7777778    14683.7500000    14465.2857143    14236.0000000    14063.3636364    13858.2000000    13661.8888889    13599.3076923    13458.5000000    13230.6363636    13104.7142857    13011.4000000    12959.3076923    12785.6666667    12785.6666667    12660.8571429    12626.8181818    12574.7500000    12516.6923077    12423.8000000    12377.0000000    12357.5000000    12310.1428571    12304.8750000    12300.7777778    12322.8181818    12344.5384615    12360.4666667    12372.6470588    12382.2631579    12464.0000000   
 12.0000000 42811.0000000    39782.6363636    39479.8000000    39119.8888889    38660.2500000    38158.4285714    37408.0000000    37032.4545455    36579.8000000    35979.4444444    35734.3846154    35183.0000000    34792.0909091    34564.4285714    34249.2000000    34111.4615385    33652.3333333    33652.3333333    33297.1428571    33200.2727273    33023.2500000    32948.2307692    32828.2000000    32748.7647059    32715.6666667    32654.1428571    32564.3750000    32494.5555556    32359.9090909    32260.2307692    32187.1333333    32131.2352941    32087.1052632    31712.0000000   
 13.0000000 112285.0000000   104331.1818182   103547.0000000   102577.8888889   101490.5000000   99981.8571429    98349.6666667    97144.8181818    95763.8000000    94293.6666667    93846.5384615    92851.5000000    91274.4545455    90464.1428571    89820.6000000    89438.3846154    88201.0000000    88201.0000000    87308.2857143    87064.8181818    86755.0000000    86389.7692308    85845.0000000    85493.1176471    85346.5000000    84971.5714286    84848.5000000    84752.7777778    84801.3636364    84919.9230769    85024.4666667    85104.4117647    85167.5263158    85704.0000000   
 14.0000000 296051.0000000   274828.4545455   272708.0000000   270283.8888889   267106.2500000   263653.0000000   258470.0000000   255771.0000000   252463.4000000   248492.1111111   246816.8461538   243036.5000000   240240.0909091   238542.7142857   236302.6000000   235369.6153846   232223.0000000   232223.0000000   229784.0000000   229144.8181818   227895.0000000   227261.6153846   226208.6000000   225619.4705882   225374.0000000   225060.7142857   224621.2500000   224279.4444444   223527.5454545   222909.1538462   222438.0666667   222077.8235294   221793.4210526   219376.0000000  
 15.0000000 777411.0000000   721580.2727273   716220.0000000   709475.4444444   702074.0000000   691647.0000000   679966.0000000   671557.3636364   662328.6000000   651745.8888889   648476.2307692   641458.0000000   630555.1818182   625263.0000000   620744.2000000   617955.9230769   609474.3333333   609474.3333333   603034.2857143   601251.9090909   599117.5000000   596651.9230769   593393.0000000   591084.5294118   590122.6666667   587466.1428571   586245.8750000   585296.7777778   585034.6363636   585521.3076923   586146.6000000   586675.2352941   587092.5789474   590640.0000000  
 16.0000000 2049025.0000000  1900754.2727273  1885994.2000000  1869579.4444444  1847655.2500000  1823369.0000000  1787491.0000000  1768621.3636364  1744966.6000000  1717990.7777778  1706581.1538462  1680549.0000000  1660737.1818182  1648248.7142857  1632903.2000000  1626500.0769231  1604452.3333333  1604452.3333333  1587501.8571429  1583399.0000000  1574964.5000000  1570317.7692308  1562117.8000000  1557442.0588235  1555493.8333333  1553205.5714286  1550919.5000000  1549300.3333333  1545245.5454545  1541570.5384615  1538571.9333333  1536228.4117647  1534378.2631579  1518652.0000000 
 17.0000000 5384855.0000000  4994319.1818182  4957846.6000000  4911150.1111111  4859778.0000000  4787572.4285714  4704838.3333333  4646361.5454545  4583747.4000000  4508990.1111111  4485041.6153846  4435848.5000000  4360840.2727273  4325628.1428571  4293387.0000000  4273369.0000000  4215350.3333333  4215350.3333333  4170216.1428571  4157467.1818182  4141965.2500000  4124694.8461538  4103619.0000000  4088928.1764706  4082997.6666667  4065494.4285714  4055735.2500000  4047985.8888889  4043107.7272727  4044189.9230769  4047397.4000000  4050725.0000000  4053502.5789474  4077112.0000000 
 18.0000000 14190509.0000000 13157010.4545455 13054738.6000000 12942001.0000000 12790400.7500000 12618749.8571429 12371032.0000000 12239802.4545455 12072858.6000000 11886749.4444444 11809529.4615385 11630251.0000000 11489955.7272727 11399456.7142857 11295613.8000000 11251271.9230769 11097451.6666667 11097451.6666667 10977968.8571429 10950792.4545455 10893607.5000000 10861446.2307692 10802562.2000000 10766617.8235294 10751450.3333333 10732005.8571429 10717908.2500000 10709962.3333333 10688622.2727273 10667428.0769231 10648849.4000000 10633666.4117647 10621529.3157895 10518364.0000000
 19.0000000 37313977.0000000 34589249.9090909 34339395.2000000 34016189.8888889 33656451.2500000 33156748.4285714 32575033.0000000 32169743.9090909 31738444.6000000 31217039.8888889 31043389.3076923 30698548.5000000 30183263.1818182 29945958.7142857 29715655.0000000 29574856.3846154 29174184.3333333 29174184.3333333 28861337.0000000 28772535.1818182 28661046.2500000 28539744.5384615 28394964.6000000 28298434.0588235 28262221.3333333 28151089.5714286 28081118.0000000 28023359.0000000 27974689.9090909 27968735.7692308 27982200.3333333 28001327.8235294 28019348.6842105 28177388.0000000
