#theta      N=10         N=11          N=12          N=13           N=14           N=15           N=16            N=17            N=18             N=19             N=20            
#---------- ------------ ------------- ------------- -------------- -------------- -------------- --------------- --------------- ---------------- ---------------- ----------------
  0.0000000 6199.0000000 16225.0000000 42811.0000000 112285.0000000 296051.0000000 777411.0000000 2049025.0000000 5384855.0000000 14190509.0000000 37313977.0000000 98324565.0000000
  5.7105931 5768.2727273 15097.1818182 39782.6363636 104331.1818182 274828.4545455 721580.2727273 1900754.2727273 4994319.1818182 13157010.4545455 34589249.9090909 91130494.0909091
  6.3401917 5725.2000000 14984.6000000 39479.8000000 103547.0000000 272708.0000000 716220.0000000 1885994.2000000 4957846.6000000 13054738.6000000 34339395.2000000 90422793.8000000
  7.1250163 5672.7777778 14846.7777778 39119.8888889 102577.8888889 270283.8888889 709475.4444444 1869579.4444444 4911150.1111111 12942001.0000000 34016189.8888889 89640628.5555556
  8.1301024 5607.0000000 14683.7500000 38660.2500000 101490.5000000 267106.2500000 702074.0000000 1847655.2500000 4859778.0000000 12790400.7500000 33656451.2500000 88590079.0000000
  9.4623222 5530.7142857 14465.2857143 38158.4285714 99981.8571429  263653.0000000 691647.0000000 1823369.0000000 4787572.4285714 12618749.8571429 33156748.4285714 87379568.7142857
 11.3099325 5421.0000000 14236.0000000 37408.0000000 98349.6666667  258470.0000000 679966.0000000 1787491.0000000 4704838.3333333 12371032.0000000 32575033.0000000 85673166.0000000
 12.5288077 5370.0909091 14063.3636364 37032.4545455 97144.8181818  255771.0000000 671557.3636364 1768621.3636364 4646361.5454545 12239802.4545455 32169743.9090909 84756992.6363636
 14.0362435 5309.0000000 13858.2000000 36579.8000000 95763.8000000  252463.4000000 662328.6000000 1744966.6000000 4583747.4000000 12072858.6000000 31738444.6000000 83589615.0000000
 15.9453959 5217.6666667 13661.8888889 35979.4444444 94293.6666667  248492.1111111 651745.8888889 1717990.7777778 4508990.1111111 11886749.4444444 31217039.8888889 82295573.0000000
 16.6992442 5181.9230769 13599.3076923 35734.3846154 93846.5384615  246816.8461538 648476.2307692 1706581.1538462 4485041.6153846 11809529.4615385 31043389.3076923 81772995.7692308
 18.4349488 5101.5000000 13458.5000000 35183.0000000 92851.5000000  243036.5000000 641458.0000000 1680549.0000000 4435848.5000000 11630251.0000000 30698548.5000000 80537704.0000000
 20.5560452 5047.7272727 13230.6363636 34792.0909091 91274.4545455  240240.0909091 630555.1818182 1660737.1818182 4360840.2727273 11489955.7272727 30183263.1818182 79545451.0000000
 21.8014095 5017.0000000 13104.7142857 34564.4285714 90464.1428571  238542.7142857 625263.0000000 1648248.7142857 4325628.1428571 11399456.7142857 29945958.7142857 78899601.2857143
 23.1985905 4974.6000000 13011.4000000 34249.2000000 89820.6000000  236302.6000000 620744.2000000 1632903.2000000 4293387.0000000 11295613.8000000 29715655.0000000 78195492.2000000
 23.9624890 4953.6153846 12959.3076923 34111.4615385 89438.3846154  235369.6153846 617955.9230769 1626500.0769231 4273369.0000000 11251271.9230769 29574856.3846154 77885399.1538462
 26.5650512 4883.6666667 12785.6666667 33652.3333333 88201.0000000  232223.0000000 609474.3333333 1604452.3333333 4215350.3333333 11097451.6666667 29174184.3333333 76816841.0000000
 26.5650512 4883.6666667 12785.6666667 33652.3333333 88201.0000000  232223.0000000 609474.3333333 1604452.3333333 4215350.3333333 11097451.6666667 29174184.3333333 76816841.0000000
 29.0546041 4835.5714286 12660.8571429 33297.1428571 87308.2857143  229784.0000000 603034.2857143 1587501.8571429 4170216.1428571 10977968.8571429 28861337.0000000 75977741.4285714
 29.7448813 4822.4545455 12626.8181818 33200.2727273 87064.8181818  229144.8181818 601251.9090909 1583399.0000000 4157467.1818182 10950792.4545455 28772535.1818182 75791646.8181818
 30.9637565 4799.5000000 12574.7500000 33023.2500000 86755.0000000  227895.0000000 599117.5000000 1574964.5000000 4141965.2500000 10893607.5000000 28661046.2500000 75398487.7500000
 32.0053832 4791.9230769 12516.6923077 32948.2307692 86389.7692308  227261.6153846 596651.9230769 1570317.7692308 4124694.8461538 10861446.2307692 28539744.5384615 75176300.6923077
 33.6900675 4779.8000000 12423.8000000 32828.2000000 85845.0000000  226208.6000000 593393.0000000 1562117.8000000 4103619.0000000 10802562.2000000 28394964.6000000 74769213.8000000
 34.9920202 4765.2352941 12377.0000000 32748.7647059 85493.1176471  225619.4705882 591084.5294118 1557442.0588235 4088928.1764706 10766617.8235294 28298434.0588235 74507497.5882353
 35.5376778 4759.1666667 12357.5000000 32715.6666667 85346.5000000  225374.0000000 590122.6666667 1555493.8333333 4082997.6666667 10751450.3333333 28262221.3333333 74394059.5000000
 36.8698976 4744.4285714 12310.1428571 32654.1428571 84971.5714286  225060.7142857 587466.1428571 1553205.5714286 4065494.4285714 10732005.8571429 28151089.5714286 74230823.2857143
 37.8749837 4726.6250000 12304.8750000 32564.3750000 84848.5000000  224621.2500000 586245.8750000 1550919.5000000 4055735.2500000 10717908.2500000 28081118.0000000 74129856.5000000
 38.6598083 4712.7777778 12300.7777778 32494.5555556 84752.7777778  224279.4444444 585296.7777778 1549300.3333333 4047985.8888889 10709962.3333333 28023359.0000000 74084012.5555556
 39.8055711 4690.0909091 12322.8181818 32359.9090909 84801.3636364  223527.5454545 585034.6363636 1545245.5454545 4043107.7272727 10688622.2727273 27974689.9090909 73972408.8181818
 40.6012946 4674.3846154 12344.5384615 32260.2307692 84919.9230769  222909.1538462 585521.3076923 1541570.5384615 4044189.9230769 10667428.0769231 27968735.7692308 73852847.9230769
 41.1859252 4662.8666667 12360.4666667 32187.1333333 85024.4666667  222438.0666667 586146.6000000 1538571.9333333 4047397.4000000 10648849.4000000 27982200.3333333 73740545.9333333
