#N          theta=0.0000             theta=5.7106             theta=6.3402             theta=7.1250             theta=8.1301             theta=9.4623             theta=11.3099            theta=12.5288            theta=14.0362            theta=15.9454            theta=16.6992            theta=18.4349            theta=20.5560            theta=21.8014            theta=23.1986            theta=23.9625            theta=26.5651            theta=26.5651            theta=29.0546            theta=29.7449            theta=30.9638            theta=32.0054            theta=33.6901            theta=34.9920            theta=35.5377            theta=36.8699            theta=37.8750            theta=38.6598            theta=39.8056            theta=40.6013            theta=41.1859            theta=41.6335            theta=41.9872            theta=45.0000           
#---------- ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------ ------------------------
 21.0000000 38427601.0000000         33112509.8181818         32589352.2000000         31961237.0000000         31197219.0000000         30321121.1428571         29129914.1666667         28558222.6363636         27884761.0000000         26920785.3333333         26560366.6153846         25754381.0000000         25184491.7272727         24871886.2857143         24458476.0000000         24260378.8461538         23609446.3333333         23609446.3333333         23127711.0714286         22997774.8181818         22783696.5000000         22715854.2307692         22614614.6000000         22481739.4705882         22426582.6666667         22300300.5714286         22141807.6875000         22018918.1111111         21828770.8181818         21705381.3076923         21617144.8000000         21550260.0000000         21497563.7894737         21049744.0000000        
 23.0000000 263250625.0000000        226748716.2727273        223184263.1000000        218907365.5555556        213927368.6250000        207546290.7142857        200745380.1666667        195851149.9090909        190130671.4000000        184591204.4444444        182851346.6923077        178989908.2500000        172993766.8181818        169765743.0000000        167324816.3000000        166038647.7692308        161848497.0000000        161848497.0000000        158542388.2142857        157656595.5454545        156364053.1250000        154950226.3846154        152751859.6000000        151650920.2352941        151195248.4166667        150160546.8571429        150104849.6875000        150066862.1111111        150727512.6363636        151390809.3076923        151903658.9333333        152305117.6470588        152624953.0526316        155351296.0000000       
 25.0000000 1832781721.0000000       1574570452.4545455       1549503863.5000000       1520105820.3333333       1483910580.5000000       1444110738.1428571       1387326973.0000000       1358129411.2727273       1323968364.8000000       1280070578.3333333       1262906700.1538463       1224782052.0000000       1196327178.6363637       1180674477.4285715       1159473951.5999999       1150406344.4615386       1121127131.6666667       1121127131.6666667       1096490749.7857144       1089935426.5454545       1078635267.6250000       1073815821.6923077       1066730744.0000000       1061799037.2352941       1059779849.3333334       1056533844.7142857       1051206651.4375000       1047126963.3333334       1039245977.0000000       1033726317.1538461       1029877390.8000000       1026997226.0000000       1024743465.5789474       1005650944.0000000      
 27.0000000 12607921225.0000000      10827941025.3636360      10658065274.5000000      10453671935.6666660      10224716073.0000000      9919484859.8571434       9582922733.5000000       9345429504.7272720       9077761423.6000004       8794914643.6666660       8708603248.7692299       8520483368.2500000       8233965902.4545450       8090386238.8571424       7974244384.1000004       7908236076.7692308       7701500472.0000000       7701500472.0000000       7538842151.8571424       7496081676.8181820       7443469046.5000000       7381629747.8461542       7293375594.0000000       7235384096.7647057       7211569654.4166670       7154290223.4285717       7137550798.8750000       7125117261.1111107       7138791846.4545450       7164000451.0000000       7186807007.3333330       7204957025.0588236       7219561837.7894735       7345175616.0000000      
 29.0000000 87646194601.0000000      75140537209.0000000      73944205444.1000061      72583576232.8888855      70861737069.8750000      68959812349.0000000      66228159751.6666641      64782943512.3636398      63074776628.1999969      61063093513.0000000      60244873664.3846130      58437388330.0000000      57038373169.8181839      56236652003.7142868      55198375259.5999985      54768671097.2307663      53387377648.0000000      53387377648.0000000      52218449237.8571396      51922998073.0000000      51369371675.1250000      51084879693.1538467      50648256212.0000000      50396572114.1764679      50294935548.5000000      50190519385.2857132      50019606795.8750000      49892708617.0000000      49595628034.6363602      49356080397.1538467      49182480680.9333344      49054900509.5294113      48956031520.3157883      48125829376.0000000     
 31.0000000 604367862921.0000000     517992927238.0000000     510012506657.2999878     500254397692.5555420     489445961775.6250000     474753113510.7142944     458087300575.0000000     446640383828.0000000     434214795358.4000244     420205727363.7777710     415841602041.7692261     406676098478.2500000     392994676136.1818237     386479051424.7142944     380882668194.9000244     377534232981.2307739     367733895214.3333130     367733895214.3333130     359636483759.1428833     357505238027.2727051     354994605734.6250000     352113393671.3846436     348492859659.2000122     345859066956.1764526     344790214646.5000000     341953272203.4285889     340729282614.9375000     339828581711.2222290     339803728809.0908813     340597778141.0000000     341542518056.1333618     342362891553.0588379     343030695426.3157959     348855609600.0000000    
 33.0000000 4198503450625.0000000    3594497201745.1816406    3537445573824.2001953    3473735219975.4443359    3391315332095.0000000    3298516190208.4287109    3167325737103.6665039    3097660994450.0000000    3013522977316.2001953    2918844608218.4443359    2880051679732.2309570    2793924519525.0000000    2725733525390.1816406    2685013341203.5712891    2635915427569.7001953    2615405437940.4614258    2548433049885.3334961    2548433049885.3334961    2492387850453.7143555    2479371712285.5454102    2453407035011.0000000    2438993905173.1538086    2415204526324.3999023    2401363526496.7060547    2395845476669.7500000    2390470674535.2856445    2384655438933.3125000    2381015431362.0000000    2370484397032.0000000    2360759946430.5385742    2353039849355.4667969    2347264689849.0585938    2342848421503.6313477    2306303897104.0000000   
 35.0000000 28996663371025.0000000   24818765435790.9101562   24443737896445.1992188   23976574799832.8906250   23455454117232.1250000   22747215330710.7148438   21932235971001.6679688   21382112310949.0000000   20796331970722.8007812   20112843963646.6679688   19892775643042.7695312   19448580560404.0000000   18797488306703.0000000   18496042277896.4296875   18221356557932.1992188   18054828758894.6171875   17590905889522.3339844   17590905889522.3339844   17198782103335.3574219   17093886945882.1816406   16967064732812.1250000   16828023820068.5390625   16666692998841.8007812   16550954807527.5878906   16506125409883.3339844   16376642716328.1425781   16307099232294.2500000   16254937690420.7773438   16230294901221.9082031   16249856931934.8457031   16285145284216.5332031   16320838357629.4707031   16351392474061.8945312   16622842260544.0000000  
 37.0000000 201370545679081.0000000  172250376670828.4687500  169524651882654.0937500  166489440952536.0000000  162525791353658.5000000  157986036046059.2812500  151709882252017.5000000  148362583766365.6250000  144256333984888.1875000  139735671576894.5625000  137911615260187.0781250  133802082026448.2500000  130473738041665.8125000  128434450511131.4218750  126136230960830.9062500  125153692391846.0781250  121915984901958.3281250  121915984901958.3281250  119189554025841.2187500  118594681363633.5468750  117372556562767.1250000  116685160669464.0000000  115496524771251.4062500  114756954747155.4062500  114460379186353.2500000  114126735800376.0000000  113885855425377.5000000  113782734237530.4375000  113428601263244.4531250  113053804850446.4687500  112724636128328.2031250  112463779883283.6406250  112262970766793.3750000  110635981236496.0000000 
 39.0000000 1392332879556529.0000000 1190653435044389.5000000 1172851087391902.5000000 1150402465161650.7500000 1125068022689288.1250000 1091011795561414.2500000 1051437557245836.3750000 1025032779627791.2500000 997030730020932.7500000  964042180854571.8750000  953058994981148.1250000  931509080700111.0000000  900536212147312.0000000  886428058750337.7500000  872889409025611.2500000  864787041217512.2500000  842586229939237.0000000  842586229939237.0000000  823798254130932.2500000  818741311398005.8750000  812406530274059.5000000  805662672459583.7500000  797992366422168.0000000  792744049543421.5000000  790880917415371.8750000  785219762147789.7500000  781740125239245.0000000  779004813873152.5000000  777035168027966.8750000  777245333006117.1250000  778433075025892.5000000  779892991897156.2500000  781262811864757.8750000  793965194502544.0000000 
