#theta      N=21.0000   N=23.0000   N=25.0000   N=27.0000   N=29.0000   N=31.0000   N=33.0000   N=35.0000   N=37.0000   N=39.0000   N=41.0000  
#---------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- -----------
  0.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000   1.0000000
  5.7105931   0.8616856   0.8613416   0.8591151   0.8588205   0.8573166   0.8570822   0.8561377   0.8559180   0.8553901   0.8551500   0.8548872
  6.3401917   0.8480715   0.8478015   0.8454383   0.8453468   0.8436670   0.8438776   0.8425492   0.8429845   0.8418543   0.8423640   0.8413742
  7.1250163   0.8317261   0.8315550   0.8293982   0.8291353   0.8281429   0.8277316   0.8273746   0.8268736   0.8267815   0.8262410   0.8262511
  8.1301024   0.8118440   0.8126376   0.8096494   0.8109756   0.8084976   0.8098478   0.8077438   0.8089018   0.8070981   0.8080453   0.8064965
  9.4623222   0.7890454   0.7883981   0.7879338   0.7867661   0.7867976   0.7855367   0.7856409   0.7844770   0.7845538   0.7835855   0.7836059
 11.3099325   0.7580466   0.7625637   0.7569516   0.7600716   0.7556307   0.7579611   0.7543940   0.7563710   0.7533867   0.7551625   0.7526017
 12.5288077   0.7431695   0.7439722   0.7410208   0.7412348   0.7391415   0.7390207   0.7378012   0.7373991   0.7367641   0.7361981   0.7358855
 14.0362435   0.7256441   0.7222421   0.7223819   0.7200046   0.7196522   0.7184611   0.7177612   0.7171974   0.7163726   0.7160865   0.7153163
 15.9453959   0.7005586   0.7011995   0.6984305   0.6975706   0.6966999   0.6952814   0.6952107   0.6936261   0.6939231   0.6923935   0.6928198
 16.6992442   0.6911794   0.6945904   0.6890655   0.6907248   0.6873644   0.6880604   0.6859710   0.6860367   0.6848649   0.6845051   0.6839558
 18.4349488   0.6702053   0.6799221   0.6682640   0.6758040   0.6667419   0.6728950   0.6654572   0.6707179   0.6644571   0.6690276   0.6636463
 20.5560452   0.6553751   0.6571448   0.6527385   0.6530788   0.6507798   0.6502574   0.6492155   0.6482638   0.6479286   0.6467823   0.6468403
 21.8014095   0.6472402   0.6448826   0.6441981   0.6416907   0.6416326   0.6394765   0.6395168   0.6378680   0.6378016   0.6366495   0.6364266
 23.1985905   0.6364820   0.6356103   0.6326307   0.6324789   0.6297863   0.6302166   0.6278226   0.6283949   0.6263887   0.6269258   0.6252592
 23.9624890   0.6313269   0.6307246   0.6276832   0.6272435   0.6248836   0.6246762   0.6229375   0.6226519   0.6215094   0.6211065   0.6203515
 26.5650512   0.6143877   0.6148076   0.6117079   0.6108462   0.6091237   0.6084604   0.6069861   0.6066528   0.6054311   0.6051615   0.6042269
 26.5650512   0.6143877   0.6148076   0.6117079   0.6108462   0.6091237   0.6084604   0.6069861   0.6066528   0.6054311   0.6051615   0.6042269
 29.0546041   0.6018515   0.6022489   0.5982659   0.5979449   0.5957868   0.5950622   0.5936372   0.5931297   0.5918917   0.5916676   0.5905411
 29.7448813   0.5984702   0.5988840   0.5946892   0.5945533   0.5924159   0.5915358   0.5905370   0.5895122   0.5889376   0.5880356   0.5876218
 30.9637565   0.5928993   0.5939741   0.5885236   0.5903804   0.5860993   0.5873817   0.5843527   0.5851385   0.5828685   0.5834858   0.5815947
 32.0053832   0.5911338   0.5886035   0.5858940   0.5854756   0.5828534   0.5826144   0.5809198   0.5803435   0.5794550   0.5786423   0.5782069
 33.6900675   0.5884993   0.5802526   0.5820283   0.5784757   0.5778717   0.5766237   0.5752537   0.5747797   0.5735522   0.5731333   0.5723110
 34.9920202   0.5850415   0.5760705   0.5793374   0.5738761   0.5750001   0.5722658   0.5719570   0.5707883   0.5698795   0.5693639   0.5684456
 35.5376778   0.5836061   0.5743396   0.5782357   0.5719872   0.5738405   0.5704973   0.5706427   0.5692422   0.5684068   0.5680257   0.5668528
 36.8698976   0.5803199   0.5704091   0.5764646   0.5674441   0.5726492   0.5658032   0.5693626   0.5647768   0.5667499   0.5639598   0.5647642
 37.8749837   0.5761954   0.5701975   0.5735580   0.5661164   0.5706991   0.5637780   0.5679775   0.5623785   0.5655537   0.5614607   0.5635269
 38.6598083   0.5729975   0.5700532   0.5713321   0.5651302   0.5692513   0.5622876   0.5671105   0.5605796   0.5650416   0.5594961   0.5631545
 39.8055711   0.5680493   0.5725628   0.5670321   0.5662148   0.5658617   0.5622465   0.5646022   0.5597297   0.5632830   0.5580815   0.5619702
 40.6012946   0.5648383   0.5750824   0.5640204   0.5682142   0.5631286   0.5635604   0.5622861   0.5604044   0.5614218   0.5582324   0.5605417
 41.1859252   0.5625421   0.5770306   0.5619204   0.5700232   0.5611479   0.5651236   0.5604473   0.5616214   0.5597871   0.5590855   0.5591493
 41.6335393   0.5608016   0.5785556   0.5603489   0.5714627   0.5596923   0.5664810   0.5590718   0.5628523   0.5584917   0.5601340   0.5579616
 41.9872125   0.5594303   0.5797705   0.5591192   0.5726211   0.5585643   0.5675859   0.5580199   0.5639060   0.5574945   0.5611178   0.5570144
 45.0000000   0.5477767   0.5901270   0.5487020   0.5825842   0.5490921   0.5772240   0.5493157   0.5732674   0.5494149   0.5702409   0.5494505
