#theta      N=21             N=23              N=25               N=27                N=29                N=31                 N=33                  N=35                   N=37                    N=39                     N=41                    
#---------- ---------------- ----------------- ------------------ ------------------- ------------------- -------------------- --------------------- ---------------------- ----------------------- ------------------------ ------------------------
  0.0000000 38427601.0000000 263250625.0000000 1832781721.0000000 12607921225.0000000 87646194601.0000000 604367862921.0000000 4198503450625.0000000 28996663371025.0000000 201370545679081.0000000 1392332879556529.0000000 9667720082439224.0000000
  5.7105931 33112509.8181818 226748716.2727273 1574570452.4545455 10827941025.3636360 75140537209.0000000 517992927238.0000000 3594497201745.1816406 24818765435790.9101562 172250376670828.4687500 1190653435044389.5000000 8264810061946022.0000000
  6.3401917 32589352.2000000 223184263.1000000 1549503863.5000000 10658065274.5000000 73944205444.1000061 510012506657.2999878 3537445573824.2001953 24443737896445.1992188 169524651882654.0937500 1172851087391902.5000000 8134170513593904.0000000
  7.1250163 31961237.0000000 218907365.5555556 1520105820.3333333 10453671935.6666660 72583576232.8888855 500254397692.5555420 3473735219975.4443359 23976574799832.8906250 166489440952536.0000000 1150402465161650.7500000 7987964741868027.0000000
  8.1301024 31197219.0000000 213927368.6250000 1483910580.5000000 10224716073.0000000 70861737069.8750000 489445961775.6250000 3391315332095.0000000 23455454117232.1250000 162525791353658.5000000 1125068022689288.1250000 7796982821287176.0000000
  9.4623222 30321121.1428571 207546290.7142857 1444110738.1428571 9919484859.8571434  68959812349.0000000 474753113510.7142944 3298516190208.4287109 22747215330710.7148438 157986036046059.2812500 1091011795561414.2500000 7575682710270010.0000000
 11.3099325 29129914.1666667 200745380.1666667 1387326973.0000000 9582922733.5000000  66228159751.6666641 458087300575.0000000 3167325737103.6665039 21932235971001.6679688 151709882252017.5000000 1051437557245836.3750000 7275942529645583.0000000
 12.5288077 28558222.6363636 195851149.9090909 1358129411.2727273 9345429504.7272720  64782943512.3636398 446640383828.0000000 3097660994450.0000000 21382112310949.0000000 148362583766365.6250000 1025032779627791.2500000 7114334908618868.0000000
 14.0362435 27884761.0000000 190130671.4000000 1323968364.8000000 9077761423.6000004  63074776628.1999969 434214795358.4000244 3013522977316.2001953 20796331970722.8007812 144256333984888.1875000 997030730020932.7500000  6915477984321715.0000000
 15.9453959 26920785.3333333 184591204.4444444 1280070578.3333333 8794914643.6666660  61063093513.0000000 420205727363.7777710 2918844608218.4443359 20112843963646.6679688 139735671576894.5625000 964042180854571.8750000  6697987594779358.0000000
 16.6992442 26560366.6153846 182851346.6923077 1262906700.1538463 8708603248.7692299  60244873664.3846130 415841602041.7692261 2880051679732.2309570 19892775643042.7695312 137911615260187.0781250 953058994981148.1250000  6612292741058532.0000000
