 N     #SAWs seconds  #UPSAWs seconds
 -     ----- -------  ------- -------
 1         1   0.001        1   0.001
 2         4   0.002        3   0.002
 3        12   0.001        7   0.002
 4        36   0.001       19   0.002
 5       100   0.002       49   0.001
 6       284   0.001      131   0.002
 7       780   0.002      339   0.002
 8      2172   0.002      899   0.002
 9      5916   0.003     2345   0.002
10     16268   0.006     6199   0.003
11     44100   0.013    16225   0.006
12    120292   0.025    42811   0.016
13    324932   0.050   112285   0.025
14    881500   0.136   296051   0.061
15   2374444   0.392   777411   0.161
16   6416596   1.028  2049025   0.444
17  17245332   3.008  5384855   1.131
18  46466676   7.725 14190509   3.070
19 124658732  21.133 37313977   8.812
20 335116620  58.341 98324565  22.240
